K_threshold,n_quick_reentries,cascade_rate_pct,mean_net_pnl,median_net_pnl,p10_net_pnl,p5_net_pnl,mean_return_pct,median_return_pct,total_net_pnl,n_exit_emergency_dd_again,pct_emergency_dd_again,cascade_fees_total,cascade_fees_pct_of_total,mean_days_held
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,2,5.6,-2292.25,-2292.25,-3903.2,-4104.57,-2.8615,-2.8615,-4584.5,0,0.0,383.08,2.4,8.5
5,5,13.9,1729.31,-629.93,-3732.47,-4019.2,2.8986,-2.8902,8646.55,2,40.0,910.05,5.6,11.6
6,7,19.4,1320.92,-629.93,-3445.73,-3875.84,1.3421,-2.8902,9246.43,3,42.9,1147.91,7.1,11.6
8,12,33.3,336.52,-822.49,-4189.59,-4713.61,0.4113,-2.6414,4038.29,5,41.7,1997.07,12.3,10.8
10,15,41.7,-366.14,-1015.06,-4849.5,-5478.35,-1.1083,-4.1368,-5492.08,8,53.3,2441.86,15.0,9.6
12,21,58.3,334.77,-741.59,-5211.87,-6100.15,1.5346,-2.8902,7030.1,10,47.6,3381.69,20.8,13.0
18,28,77.8,221.31,-121.52,-5052.49,-5789.25,1.4092,-0.0257,6196.57,11,39.3,4437.35,27.3,12.2
24,28,77.8,221.31,-121.52,-5052.49,-5789.25,1.4092,-0.0257,6196.57,11,39.3,4437.35,27.3,12.2
