cooldown,score,cagr_pct,max_drawdown_mid_pct,emergency_dd_count,cascade_rate_le3,cascade_rate_le6,fees_total,trades,wins,win_rate_pct,profit_factor,sharpe,sortino,calmar,final_nav_mid,avg_trade_pnl
0,88.94,37.26,36.28,36,0.0,19.4,16268.15,103,52,50.49,1.6693,1.151,1.1421,1.0271,95968.45,912.87
3,88.94,37.26,36.28,36,0.0,19.4,16268.15,103,52,50.49,1.6693,1.151,1.1421,1.0271,95968.45,912.87
6,89.63,37.45,36.04,37,0.0,13.5,16361.09,103,52,50.49,1.6762,1.1555,1.1455,1.0392,96923.96,922.59
12,86.9,36.98,39.92,33,0.0,0.0,14090.26,99,52,52.53,1.8046,1.1723,1.1299,0.9263,94552.53,924.48
18,74.01,33.61,45.46,30,0.0,0.0,11896.68,94,50,53.19,1.6925,1.0998,1.0378,0.7392,79139.26,798.16
