metric,baseline_harsh,overlay_harsh,delta_harsh,pct_change_harsh,baseline_base,overlay_base,delta_base,pct_change_base
score,88.9365,86.8994,-2.0371,-2.29%,112.7367,113.2957,0.559,+0.50%
cagr_pct,37.26,36.98,-0.28,-0.75%,45.55,46.08,0.53,+1.16%
final_nav_mid,95968.45,94552.53,-1415.92,-1.48%,145814.61,149703.47,3888.86,+2.67%
max_drawdown_mid_pct,36.28,39.92,3.64,+10.03%,34.78,38.17,3.39,+9.75%
sharpe,1.151,1.1723,0.0213,+1.85%,1.3219,1.3659,0.044,+3.33%
sortino,1.1421,1.1299,-0.0122,-1.07%,1.3252,1.3289,0.0037,+0.28%
calmar,1.0271,0.9263,-0.1008,-9.81%,1.3096,1.2072,-0.1024,-7.82%
trades,103,99,-4,-3.88%,100,97,-3,-3.00%
wins,52,52,0,+0.00%,52,52,0,+0.00%
losses,51,47,-4,-7.84%,48,45,-3,-6.25%
win_rate_pct,50.49,52.53,2.04,+4.04%,52.0,53.61,1.61,+3.10%
profit_factor,1.6693,1.8046,0.1353,+8.11%,1.8309,2.0141,0.1832,+10.01%
avg_trade_pnl,912.87,924.48,11.61,+1.27%,1427.29,1506.4,79.11,+5.54%
fees_total,16268.15,14090.26,-2177.89,-13.39%,13978.83,12986.72,-992.11,-7.10%
turnover_notional,10845432.83,9393503.78,-1451929.05,-13.39%,13978832.95,12986719.97,-992112.98,-7.10%
fee_drag_pct_per_year,3.94,3.77,-0.17,-4.31%,2.61,2.55,-0.06,-2.30%
emergency_dd_count,36,33,-3,-8.33%,33,31,-2,-6.06%
time_in_market_pct,55.76,53.99,-1.77,-3.17%,56.53,54.26,-2.27,-4.02%
avg_exposure,0.4167,0.4012,-0.0155,-3.72%,0.4242,0.4064,-0.0178,-4.20%
