fold_id,target,train_start,train_end,raw_n,raw_pos,thin3_n,thin3_pos,clusters,positive_clusters,ess_label_raw,ess_label_thin3,ess_pc1_raw,ess_pc1_thin3
0,soft,2019-01-02,2021-12-28,1481,460,566,178,187,122,194.08642594671494,198.01919811328332,70.461821251695,56.78777311584225
1,soft,2019-07-01,2022-06-26,1301,441,498,173,168,115,177.7148811574881,175.0607899440788,64.79643181985335,50.35307370646837
2,soft,2019-12-28,2022-12-23,1367,503,526,198,180,124,171.59167484277887,174.40417749738276,63.14996138216736,48.38979952104044
3,soft,2020-06-25,2023-06-21,1354,519,516,203,173,124,147.80822912907973,145.94421352685052,61.808540307522456,40.353613419954314
4,soft,2020-12-22,2023-12-18,1251,480,476,192,153,115,117.749145062889,114.40335500409566,60.00566217241757,51.51599504432498
5,soft,2021-06-20,2024-06-15,1194,490,462,197,159,120,99.38038417941242,101.90464195497026,119.2551858200711,63.62086692320639
6,soft,2021-12-17,2024-12-12,1238,548,480,216,168,126,101.87042749317204,108.46673313856516,383.160661995567,65.6612014669766
7,soft,2022-06-15,2025-06-10,1318,580,512,230,188,138,122.78152534594916,128.80172737396964,67.60480513884256,57.24091080467615
0,hard,2019-01-02,2021-12-28,1285,187,487,70,157,50,154.76066785731558,158.83466289461003,66.39127622825411,56.40643412101566
1,hard,2019-07-01,2022-06-26,1106,175,417,66,139,49,139.4463527708742,133.81820399899954,59.24985689269319,46.301927658717474
2,hard,2019-12-28,2022-12-23,1138,186,432,72,149,53,142.63090810732922,140.71053712287537,56.02857663601583,44.50859779254149
3,hard,2020-06-25,2023-06-21,1079,157,405,61,133,46,129.0192806003599,113.5911627078341,51.426267100396245,34.27439988937
4,hard,2020-12-22,2023-12-18,998,169,375,69,117,46,111.05944320554295,107.6537064654302,38.61499731221078,43.271133913776936
5,hard,2021-06-20,2024-06-15,920,159,348,62,113,42,89.15210122323208,90.21963106421248,55.90329413132548,44.11035803317776
6,hard,2021-12-17,2024-12-12,964,221,367,84,121,51,94.10971207719899,98.97766028642918,62.69783317928874,49.47784472085419
7,hard,2022-06-15,2025-06-10,1020,216,393,84,137,50,98.51436905039719,106.94468094891197,35.07951898133009,43.98973269221985
