fold_id,target,model,train_start,train_end,test_start,test_end,train_n,train_pos,test_n,test_pos,logloss,brier,auc
0,soft,PRIOR,2019-01-02,2021-12-28,2022-01-01,2022-06-29,566,178,39,17,0.7172495185447866,0.2606312016343358,0.42245989304812837
0,soft,DD_ONLY,2019-01-02,2021-12-28,2022-01-01,2022-06-29,566,178,39,17,0.6536151367512804,0.23172784774890554,0.786096256684492
0,soft,CORE4,2019-01-02,2021-12-28,2022-01-01,2022-06-29,566,178,39,17,0.6502991929541373,0.23046837587596478,0.8048128342245989
0,soft,EXPANDED7,2019-01-02,2021-12-28,2022-01-01,2022-06-29,566,178,39,17,0.6637572892150657,0.23611994125746677,0.7513368983957219
1,soft,PRIOR,2019-07-01,2022-06-26,2022-06-30,2022-12-26,498,173,46,32,0.8654069557954082,0.33300707632345333,0.5223214285714286
1,soft,DD_ONLY,2019-07-01,2022-06-26,2022-06-30,2022-12-26,498,173,46,32,0.8445000478823264,0.32064425495358045,0.7321428571428571
1,soft,CORE4,2019-07-01,2022-06-26,2022-06-30,2022-12-26,498,173,46,32,0.9096260669709966,0.3489044012931547,0.7366071428571429
1,soft,EXPANDED7,2019-07-01,2022-06-26,2022-06-30,2022-12-26,498,173,46,32,0.9063526122820602,0.34622164571025904,0.7700892857142857
2,soft,PRIOR,2019-12-28,2022-12-23,2022-12-27,2023-06-24,526,198,95,40,0.6848124791702436,0.2457588621614032,0.6986363636363636
2,soft,DD_ONLY,2019-12-28,2022-12-23,2022-12-27,2023-06-24,526,198,95,40,0.682291697917271,0.24422515743839196,0.5645454545454546
2,soft,CORE4,2019-12-28,2022-12-23,2022-12-27,2023-06-24,526,198,95,40,0.6863561286263273,0.2460529599570015,0.5422727272727272
2,soft,EXPANDED7,2019-12-28,2022-12-23,2022-12-27,2023-06-24,526,198,95,40,0.6953081700683049,0.2507007152619256,0.4959090909090909
3,soft,PRIOR,2020-06-25,2023-06-21,2023-06-25,2023-12-21,516,203,89,37,0.6799136516317416,0.24339678329346298,0.5841995841995842
3,soft,DD_ONLY,2020-06-25,2023-06-21,2023-06-25,2023-12-21,516,203,89,37,0.6345158375321284,0.2217397956356154,0.7011434511434511
3,soft,CORE4,2020-06-25,2023-06-21,2023-06-25,2023-12-21,516,203,89,37,0.6476644745445178,0.22795057835936688,0.6642411642411642
3,soft,EXPANDED7,2020-06-25,2023-06-21,2023-06-25,2023-12-21,516,203,89,37,0.63296085167445,0.22164262814287222,0.685031185031185
4,soft,PRIOR,2020-12-22,2023-12-18,2023-12-22,2024-06-18,476,192,102,44,0.6853168524414955,0.24607490054845477,0.4153605015673981
4,soft,DD_ONLY,2020-12-22,2023-12-18,2023-12-22,2024-06-18,476,192,102,44,0.6359912920537814,0.22220771727327665,0.697884012539185
4,soft,CORE4,2020-12-22,2023-12-18,2023-12-22,2024-06-18,476,192,102,44,0.6360627000792476,0.22200431379693586,0.6794670846394985
4,soft,EXPANDED7,2020-12-22,2023-12-18,2023-12-22,2024-06-18,476,192,102,44,0.6357332875721894,0.2224089349202093,0.6731974921630094
5,soft,PRIOR,2021-06-20,2024-06-15,2024-06-19,2024-12-15,462,197,110,44,0.6744455039948104,0.24069732576226088,0.4393939393939394
5,soft,DD_ONLY,2021-06-20,2024-06-15,2024-06-19,2024-12-15,462,197,110,44,0.6879906627831611,0.24755539586522457,0.5351239669421488
5,soft,CORE4,2021-06-20,2024-06-15,2024-06-19,2024-12-15,462,197,110,44,0.6877413514703156,0.24766136746798728,0.546831955922865
5,soft,EXPANDED7,2021-06-20,2024-06-15,2024-06-19,2024-12-15,462,197,110,44,0.6897492656554803,0.24850684309939766,0.540633608815427
6,soft,PRIOR,2021-12-17,2024-12-12,2024-12-16,2025-06-13,480,216,73,36,0.6967978916684621,0.2518150684931507,0.4797297297297297
6,soft,DD_ONLY,2021-12-17,2024-12-12,2024-12-16,2025-06-13,480,216,73,36,0.7275726073583476,0.2659380072816369,0.5180180180180181
6,soft,CORE4,2021-12-17,2024-12-12,2024-12-16,2025-06-13,480,216,73,36,0.7128190869874378,0.25911940765421393,0.5472972972972973
6,soft,EXPANDED7,2021-12-17,2024-12-12,2024-12-16,2025-06-13,480,216,73,36,0.7451355191547486,0.27387442353825825,0.49024024024024027
7,soft,PRIOR,2022-06-15,2025-06-10,2025-06-14,2025-12-10,512,230,51,23,0.6883398781473377,0.24760018142999388,0.40683229813664595
7,soft,DD_ONLY,2022-06-15,2025-06-10,2025-06-14,2025-12-10,512,230,51,23,0.6589127975828143,0.23278232167502352,0.6614906832298136
7,soft,CORE4,2022-06-15,2025-06-10,2025-06-14,2025-12-10,512,230,51,23,0.6548159875882417,0.23151957849132465,0.65527950310559
7,soft,EXPANDED7,2022-06-15,2025-06-10,2025-06-14,2025-12-10,512,230,51,23,0.6646727184238121,0.23474567773227392,0.6645962732919255
0,hard,PRIOR,2019-01-02,2021-12-28,2022-01-01,2022-06-29,487,70,32,9,0.6570941143383189,0.22105821692548352,0.4782608695652174
0,hard,DD_ONLY,2019-01-02,2021-12-28,2022-01-01,2022-06-29,487,70,32,9,0.5646340076187343,0.19455802527389768,0.8888888888888888
0,hard,CORE4,2019-01-02,2021-12-28,2022-01-01,2022-06-29,487,70,32,9,0.5627771543371984,0.19444331380845067,0.893719806763285
0,hard,EXPANDED7,2019-01-02,2021-12-28,2022-01-01,2022-06-29,487,70,32,9,0.6044233310511067,0.20582269132164796,0.7874396135265701
1,hard,PRIOR,2019-07-01,2022-06-26,2022-06-30,2022-12-26,417,66,29,9,0.6909270098141412,0.2371566403538047,0.38333333333333336
1,hard,DD_ONLY,2019-07-01,2022-06-26,2022-06-30,2022-12-26,417,66,29,9,0.7231423699406023,0.23724177271011568,0.5666666666666667
1,hard,CORE4,2019-07-01,2022-06-26,2022-06-30,2022-12-26,417,66,29,9,0.7379037115178805,0.24100604499981107,0.5833333333333334
1,hard,EXPANDED7,2019-07-01,2022-06-26,2022-06-30,2022-12-26,417,66,29,9,0.7082572500384444,0.23590599310080237,0.6388888888888888
2,hard,PRIOR,2019-12-28,2022-12-23,2022-12-27,2023-06-24,432,72,64,6,0.3332063610846515,0.09027777777777779,0.8275862068965517
2,hard,DD_ONLY,2019-12-28,2022-12-23,2022-12-27,2023-06-24,432,72,64,6,0.35238589111841423,0.0976048717896219,0.41379310344827586
2,hard,CORE4,2019-12-28,2022-12-23,2022-12-27,2023-06-24,432,72,64,6,0.3314739246874943,0.0906932023318475,0.4885057471264368
2,hard,EXPANDED7,2019-12-28,2022-12-23,2022-12-27,2023-06-24,432,72,64,6,0.34061927373923373,0.09481687889304355,0.4885057471264368
3,hard,PRIOR,2020-06-25,2023-06-21,2023-06-25,2023-12-21,405,61,69,15,0.5392818865157682,0.17459109494178385,0.7469135802469136
3,hard,DD_ONLY,2020-06-25,2023-06-21,2023-06-25,2023-12-21,405,61,69,15,0.5010346115674323,0.16330690809801116,0.682716049382716
3,hard,CORE4,2020-06-25,2023-06-21,2023-06-25,2023-12-21,405,61,69,15,0.5963923385532256,0.18503100060913763,0.5024691358024691
3,hard,EXPANDED7,2020-06-25,2023-06-21,2023-06-25,2023-12-21,405,61,69,15,0.584283606407634,0.18390158157414913,0.5839506172839506
4,hard,PRIOR,2020-12-22,2023-12-18,2023-12-22,2024-06-18,375,69,76,14,0.4777185603729207,0.15027705263157898,0.6117511520737328
