config_id,mechanism_type,candidate_id,fold,cost_bps_rt,cagr,sharpe,max_drawdown,entries,exposure,mean_daily_return
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,1,20,0.121352151785,0.500942224412,0.165309578191,16,0.34495412844,0.000472091422568
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,2,20,0.374518807124,0.887660991404,0.153527247645,24,0.459706959707,0.00118017994083
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,3,20,0.0851990586146,0.405392238092,0.142425833751,25,0.400362318841,0.000368149642524
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,4,20,12.2027971539,4.7724882583,0.104217282217,29,0.728260869565,0.00752925603385
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,5,20,12.8511022915,4.2619415501,0.151073148755,17,0.544444444444,0.00780927549399
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,6,20,-0.42773598449,-2.26538915002,0.202616080435,9,0.227106227106,-0.00145293105291
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,7,20,0.798073533257,1.84910929662,0.115409704885,17,0.373188405797,0.00177169022056
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,8,20,0.481705391457,1.2144839311,0.168535755542,17,0.346014492754,0.00127136160652
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,9,20,-0.206410340716,-0.888915836915,0.176697160821,7,0.235185185185,-0.000560349594427
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,10,20,-0.136476898486,-3.23452467735,0.0363398805551,3,0.0274725274725,-0.000398881228152
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,11,20,-0.381459178963,-2.46307894221,0.137807644101,7,0.130434782609,-0.00126532112321
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,12,20,-0.1687245269,-1.37929315572,0.0696505588942,7,0.114130434783,-0.000483652580442
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,13,20,0.82616151729,1.5089577519,0.186825834887,31,0.522222222222,0.00194110608463
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,14,20,-0.120951411985,-0.347665632392,0.141190993869,19,0.346153846154,-0.000256256257182
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,1,50,-0.0754627032594,-0.0509499472658,0.186361474306,16,0.34495412844,-4.90549575486e-05
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,2,50,0.029021168551,0.29323352202,0.182146240155,24,0.459706959707,0.000393510850539
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,3,50,-0.194680965737,-0.471267315223,0.188803465449,25,0.400362318841,-0.000439856350906
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,4,50,8.3969886954,4.10813923307,0.116250004489,29,0.728260869565,0.00661057110043
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,5,50,10.2574140366,3.94295340609,0.158692487146,17,0.544444444444,0.00724197436337
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,6,50,-0.489695090234,-2.64760165777,0.220387641091,9,0.227106227106,-0.00176041480737
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,7,50,0.467977051317,1.26173989105,0.129910860397,17,0.373188405797,0.00121860330884
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,8,50,0.209688853788,0.677770598974,0.203989776143,17,0.346014492754,0.000723947919549
