config_id,mechanism_type,candidate_id,cost_bps_rt,agg_cagr,agg_sharpe,agg_mdd,total_entries,avg_exposure,discovery_years,entries_per_year,calmar_50bps,pass_cagr,pass_mdd,pass_entries,pass_exposure,pass_all,fail_reasons
A013,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.303497248027,0.850294709986,0.343635652395,190,0.350998564156,3.4962354551676933,54.344166014095535,0.8831948778066195,True,True,True,True,True,
A015,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.285966074308,0.845267879395,0.367783630482,165,0.311839185485,3.4962354551676933,47.19361785434612,0.7775388859292791,True,True,True,True,True,
A009,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.283440267651,0.842819600313,0.403852579411,234,0.333246312492,3.4962354551676933,66.9291307752545,0.7018409243897471,True,True,True,True,True,
A010,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.249132057837,0.76380056993,0.377034623323,237,0.338337031719,3.4962354551676933,67.78719655442444,0.6607670554000348,True,True,True,True,True,
A016,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.24555243659,0.749991825095,0.404724304749,183,0.332071531132,3.4962354551676933,52.342012529365704,0.6067153212908366,True,True,True,True,True,
A014,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.21950414045,0.680743716009,0.368896313732,196,0.355958752121,3.4962354551676933,56.060297572435395,0.5950293680881503,True,True,True,True,True,
B009,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.144971134338,0.642042668177,0.27513260143,52,0.164973707417,3.4962354551676933,14.873140172278779,0.5269136902879318,True,True,True,True,True,
A011,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.202909193281,0.691145315264,0.403844923084,207,0.291345777314,3.4962354551676933,59.20653876272514,0.502443343181003,True,True,True,True,True,
A004,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.219585646822,0.710433786098,0.443743672427,226,0.331940999869,3.4962354551676933,64.6409553641347,0.49484795044175844,True,True,True,True,True,
A012,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.200899006611,0.676598636337,0.41428601381,227,0.313666623156,3.4962354551676933,64.92697729052468,0.48492828604910704,True,True,True,True,True,
B010,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.137156693793,0.608891969306,0.302321189229,50,0.169807623216,3.4962354551676933,14.301096319498825,0.45367873202267534,True,True,True,True,True,
B001,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.12392245768,0.51469941598,0.36802889472,68,0.254172518535,3.4962354551676933,19.449490994518403,0.3367193702936869,True,True,True,True,True,
B002,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.116461077117,0.492034503257,0.400964617541,68,0.259724989385,3.4962354551676933,19.449490994518403,0.2904522544438512,True,True,True,True,True,
B005,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.10483629812,0.464176846928,0.442447357786,87,0.248914002025,3.4962354551676933,24.88390759592796,0.23694637627535914,True,True,True,True,True,
B013,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.070738749323,0.387610115221,0.339471490621,67,0.175425417252,3.4962354551676933,19.163469068128425,0.2083790576746124,True,True,True,True,True,
B016,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0642066757988,0.366910925592,0.382386880671,55,0.153901427312,3.4962354551676933,15.731205951448707,0.16791024756427894,True,True,True,True,True,
B014,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0562610846077,0.334808904973,0.343321027034,66,0.183002906882,3.4962354551676933,18.87744714173845,0.1638731105220896,True,True,True,True,True,
B003,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0536902240699,0.321071672775,0.429707771864,61,0.2007708136,3.4962354551676933,17.447337509788568,0.12494589948187541,True,True,True,True,True,
B004,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.0466950940202,0.299474389784,0.427752338182,61,0.20632328445,3.4962354551676933,17.447337509788568,0.10916385453007665,True,True,True,True,True,
C002,C_compression_breakout,C_D1ROC_H4CMP_1HBRK,50,0.664830102086,1.56785188587,0.287687137566,7,0.276513048306,3.4962354551676933,2.0021534847298357,2.310948302071647,True,True,False,True,False,"entries/year outside [6,80]"
