config_id,archetype,candidate_id,param_1_name,param_1_value,param_2_name,param_2_value,param_3_name,param_3_value,param_4_name,param_4_value
A001,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,21,h4_dd_ref_bars,42,h4_max_dd_pct,0.08
A002,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,21,h4_dd_ref_bars,42,h4_max_dd_pct,0.1
A003,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,21,h4_dd_ref_bars,126,h4_max_dd_pct,0.08
A004,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,21,h4_dd_ref_bars,126,h4_max_dd_pct,0.1
A005,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,34,h4_dd_ref_bars,42,h4_max_dd_pct,0.08
A006,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,34,h4_dd_ref_bars,42,h4_max_dd_pct,0.1
A007,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,34,h4_dd_ref_bars,126,h4_max_dd_pct,0.08
A008,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,50,h4_state_ema_len,34,h4_dd_ref_bars,126,h4_max_dd_pct,0.1
A009,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,21,h4_dd_ref_bars,42,h4_max_dd_pct,0.08
A010,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,21,h4_dd_ref_bars,42,h4_max_dd_pct,0.1
A011,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,21,h4_dd_ref_bars,126,h4_max_dd_pct,0.08
A012,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,21,h4_dd_ref_bars,126,h4_max_dd_pct,0.1
A013,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,34,h4_dd_ref_bars,42,h4_max_dd_pct,0.08
A014,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,34,h4_dd_ref_bars,42,h4_max_dd_pct,0.1
A015,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,34,h4_dd_ref_bars,126,h4_max_dd_pct,0.08
A016,A,A_D1EMA_H4STATE_DD,d1_perm_ema_len,100,h4_state_ema_len,34,h4_dd_ref_bars,126,h4_max_dd_pct,0.1
B001,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,21,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.08
B002,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,21,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.1
B003,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,21,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.08
B004,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,21,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.1
B005,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,42,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.08
B006,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,42,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.1
B007,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,42,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.08
B008,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.7,h4_dd_ref_bars,42,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.1
B009,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,21,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.08
B010,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,21,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.1
B011,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,21,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.08
B012,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,21,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.1
B013,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,42,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.08
B014,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,42,h4_pullback_min_pct,0.02,h4_pullback_max_pct,0.1
B015,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,42,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.08
B016,B,B_D1RNG_H4PB_1HBRK,d1_closepos100_thresh,0.8,h4_dd_ref_bars,42,h4_pullback_min_pct,0.03,h4_pullback_max_pct,0.1
C001,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,50,h4_compression_q,0.15,h1_participation_q,0.75,,
C002,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,50,h4_compression_q,0.15,h1_participation_q,0.85,,
C003,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,50,h4_compression_q,0.2,h1_participation_q,0.75,,
C004,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,50,h4_compression_q,0.2,h1_participation_q,0.85,,
C005,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,100,h4_compression_q,0.15,h1_participation_q,0.75,,
C006,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,100,h4_compression_q,0.15,h1_participation_q,0.85,,
C007,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,100,h4_compression_q,0.2,h1_participation_q,0.75,,
C008,C,C_D1ROC_H4CMP_1HBRK,d1_roc_lookback_days,100,h4_compression_q,0.2,h1_participation_q,0.85,,
