candidate_id,mechanism_type,config_id,cost_bps_rt,cagr,sharpe,max_drawdown,entries,exposure,mean_daily_return
A_D1EMA_H4STATE_DD,A_slow_trend_state,A013,20,0.1600406731289572,0.6856973901064304,0.26755740233467273,86,0.35081148564294634,0.0005040568880300292
A_D1EMA_H4STATE_DD,A_slow_trend_state,A013,50,-0.02792608108922412,0.03354349175874318,0.38471848794528607,86,0.35081148564294634,2.5288952511731086e-05
B_D1RNG_H4PB_1HBRK,B_pullback_continuation,B009,20,-0.2215212328747096,-2.1360961131953595,0.3515877800925362,31,0.0763888888888889,-0.0006673595919667038
B_D1RNG_H4PB_1HBRK,B_pullback_continuation,B009,50,-0.26958034746944237,-2.543748308231563,0.40659835931316424,31,0.0763888888888889,-0.0008395648390727057
