config_id,mechanism_type,candidate_id,cost_bps_rt,agg_cagr,agg_sharpe,agg_mdd,total_entries,avg_exposure,mean_fold_sharpe,median_fold_sharpe
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.48775162831,1.23955647176,0.359585796609,228,0.342644563373,0.344436346237,0.453167231252
A001,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.222972050304,0.713834928131,0.489348229843,228,0.342644563373,-0.203308631789,-0.261108631245
A002,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.500693425568,1.24892112266,0.359585796609,229,0.347343688813,0.375017663374,0.453167231252
A002,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.232550638191,0.728838473999,0.466376333504,229,0.347343688813,-0.169837725829,-0.261108631245
A003,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.440145933597,1.18247572794,0.343758024665,215,0.313405560632,0.336762672363,0.607821650609
A003,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.197141774056,0.668634719729,0.488630191101,215,0.313405560632,-0.205373390564,-0.103648449697
A004,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.481083670879,1.23809950956,0.322000353399,226,0.331940999869,0.394342002349,0.572920315996
A004,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.219585646822,0.710433786098,0.443743672427,226,0.331940999869,-0.162048349065,-0.146163977112
A005,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.427767763293,1.07835098443,0.445256896575,189,0.367184440674,0.182469364533,0.114126291494
A005,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.214197347834,0.674244003197,0.511672183626,189,0.367184440674,-0.259139299737,-0.415058519452
A006,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.399006081623,1.01842415632,0.445256896575,191,0.372014097376,0.169948732498,0.266785911544
A006,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.187694368055,0.617334030959,0.51030299169,191,0.372014097376,-0.269535296944,-0.34452160202
A007,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.467414417677,1.17801192463,0.4003595109,176,0.338598094244,0.298092878496,0.189275223206
A007,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.26193642252,0.784061883651,0.469076857265,176,0.338598094244,-0.136813589195,-0.297997136779
A008,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.455760504831,1.1379643581,0.422179062322,187,0.357003002219,0.279382934294,0.205386190865
A008,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.2401329699,0.730701339963,0.505346180909,187,0.357003002219,-0.168875222921,-0.402672585643
A009,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.569384659173,1.38710997206,0.322495698073,234,0.333246312492,0.678401972901,0.80499667421
A009,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.283440267651,0.842819600313,0.403852579411,234,0.333246312492,0.13953150311,0.145435016977
A010,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.53137663312,1.30310921424,0.305579554381,237,0.338337031719,0.616684147489,0.375913784208
A010,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.249132057837,0.76380056993,0.377034623323,237,0.338337031719,0.0806921576658,-0.185713158312
A011,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.437167237012,1.2012412748,0.323642528893,207,0.291345777314,0.524340392467,0.647766594006
A011,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.202909193281,0.691145315264,0.403844923084,207,0.291345777314,0.0223771292829,-0.00243545429023
A012,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.459644453785,1.21901910261,0.327451961505,227,0.313666623156,0.518565148843,0.34267385619
A012,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.200899006611,0.676598636337,0.41428601381,227,0.313666623156,-0.0150576912906,-0.211795095686
A013,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.534093102724,1.26198613611,0.274213215489,190,0.350998564156,0.549545738272,0.272642268678
A013,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.303497248027,0.850294709986,0.343635652395,190,0.350998564156,0.122705722817,0.0671797535809
A014,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.442662414899,1.09385289117,0.351593699042,196,0.355958752121,0.446346289083,0.225838969881
A014,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.21950414045,0.680743716009,0.368896313732,196,0.355958752121,0.0184679568036,-0.10319301902
A015,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.481284387292,1.22689666278,0.267807217254,165,0.311839185485,0.496707177094,0.303698634939
A015,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.285966074308,0.845267879395,0.367783630482,165,0.311839185485,0.102640669605,0.0518909510073
A016,A_slow_trend_state,A_D1EMA_H4STATE_DD,20,0.457103724387,1.15910800609,0.297186768564,183,0.332071531132,0.4361855998,0.46014046246
A016,A_slow_trend_state,A_D1EMA_H4STATE_DD,50,0.24555243659,0.749991825095,0.404724304749,183,0.332071531132,0.0168882549082,0.27386406115
B001,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,20,0.191574490763,0.693031220103,0.331897917927,68,0.254172518535,-0.0991842950107,-0.194298692606
B001,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,50,0.12392245768,0.51469941598,0.36802889472,68,0.254172518535,-0.273766763721,-0.26431366734
B002,B_pullback_continuation,B_D1RNG_H4PB_1HBRK,20,0.183663988856,0.667107222234,0.364810594318,68,0.259724989385,-0.10802776194,-0.228942541172
