candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year
baseline_legacy,smart,103.32,41.5,32.7,1.2553,1.2356,1.8291,49.51,1079.56,3981.38,103,26.01
baseline_legacy,base,94.5,38.55,33.88,1.1884,1.1726,1.7888,49.51,948.09,10282.42,103,25.84
baseline_legacy,harsh,83.48,34.35,33.07,1.0967,1.0765,1.7347,49.04,758.63,13254.98,104,25.99
v9_like,smart,108.5,44.04,35.17,1.3035,1.2895,1.8145,52.48,1263.64,4564.11,101,25.9
v9_like,base,99.78,41.1,36.3,1.2385,1.2281,1.7796,52.48,1115.58,11814.55,101,25.72
v9_like,harsh,77.45,33.05,36.28,1.0639,1.0438,1.6168,50.96,708.43,13865.63,104,25.94
peak_emergency,smart,43.74,24.67,52.3,0.8085,0.7805,1.3962,61.33,521.37,1668.79,75,19.12
peak_emergency,base,37.64,22.63,53.2,0.761,0.7358,1.3786,58.67,468.33,4443.34,75,19.1
peak_emergency,harsh,31.28,20.52,54.14,0.7108,0.6885,1.3551,58.67,413.03,6192.49,75,19.08
peak_cooldown,smart,42.7,24.13,52.53,0.8271,0.795,1.4543,58.57,535.5,1366.51,70,16.2
peak_cooldown,base,37.27,22.34,53.34,0.7823,0.7531,1.4339,58.57,485.85,3669.82,70,16.21
peak_cooldown,harsh,31.68,20.5,54.17,0.7355,0.7092,1.4087,58.57,434.48,5162.92,70,16.22
peak_dd_adaptive,smart,32.52,16.96,38.69,0.7504,0.6687,1.4658,57.75,295.44,740.77,71,10.87
peak_dd_adaptive,base,28.22,15.51,39.19,0.7119,0.6328,1.4518,59.15,266.9,1942.23,71,10.65
peak_dd_adaptive,harsh,22.95,13.9,40.41,0.6646,0.5873,1.4264,57.53,228.29,2716.85,73,10.75
