hold_bucket,trade_count,mean_giveback,median_giveback,mean_realized_return_pct,mean_mfe_pct
<1d,19,17.037166,4.999186,-1.992285,0.499518
1-3d,51,5.401366,3.461057,-3.536232,1.969025
3-7d,60,2.686852,1.180764,-0.9861,5.274591
7-14d,43,0.772324,0.687999,4.501937,11.684322
14d+,19,0.326704,0.300976,28.613,41.985739
