removal_index,removal_pct,removed_episode_id,removed_entry_time,removed_exit_time,removed_trade_pnl_usd,removed_trade_return_pct,removed_native_positive_contribution_rank,cumulative_removed_pnl_usd,cumulative_removed_share_of_total_net_pnl,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,0,,,0.0,0.0,0,0.0,0.0,228479.79,61.82794,1.137892,218479.79,0.0,0.0,0.0
1,0.52,163,2024-11-02T20:00:00Z,2024-11-25T20:00:00Z,49938.33,35.923378,1,49938.33,22.8572,178541.45,55.802794,1.073418,168541.45,49938.34,6.025146,0.064474
2,1.04,138,2024-01-30T12:00:00Z,2024-03-05T20:00:00Z,49482.89,40.770437,2,99421.23,45.5059,129058.56,48.214359,1.001875,119058.56,49482.89,7.588435,0.071543
3,1.56,57,2020-12-11T00:00:00Z,2021-01-11T08:00:00Z,35294.93,87.915263,3,134716.16,61.6607,93763.63,41.105439,0.942888,83763.63,35294.93,7.10892,0.058987
4,2.08,75,2021-10-02T12:00:00Z,2021-10-22T00:00:00Z,31613.43,30.168591,4,166329.59,76.1304,62150.19,32.454913,0.870618,52150.19,31613.44,8.650526,0.07227
5,2.6,61,2021-02-02T04:00:00Z,2021-02-23T08:00:00Z,30715.21,47.65338,5,197044.81,90.189,31434.98,19.268321,0.774896,21434.98,30715.21,13.186592,0.095722
6,3.12,103,2023-01-09T00:00:00Z,2023-01-30T20:00:00Z,30031.59,32.762503,6,227076.4,103.9347,1403.39,-26.07412,0.68723,-8596.61,30031.59,45.342441,0.087666
7,3.65,173,2025-05-06T00:00:00Z,2025-05-25T12:00:00Z,26385.94,12.996438,7,253462.34,116.0118,-24982.56,-100.0,0.643071,-34982.56,26385.95,73.92588,0.044159
8,4.17,128,2023-10-16T16:00:00Z,2023-11-14T20:00:00Z,22961.88,25.510553,8,276424.23,126.5216,-47944.44,-100.0,0.563343,-57944.44,22961.88,0.0,0.079728
9,4.69,172,2025-04-14T20:00:00Z,2025-05-05T00:00:00Z,19790.71,10.793502,9,296214.94,135.58,-67735.16,-100.0,0.524293,-77735.16,19790.72,0.0,0.03905
10,5.21,71,2021-08-04T08:00:00Z,2021-08-18T00:00:00Z,16636.65,17.917037,10,312851.6,143.1948,-84371.81,-100.0,0.461625,-94371.81,16636.65,0.0,0.062668
11,5.73,179,2025-07-02T16:00:00Z,2025-07-15T04:00:00Z,15844.2,7.519603,11,328695.8,150.4468,-100216.01,-100.0,0.433105,-110216.01,15844.2,0.0,0.02852
12,6.25,132,2023-11-27T20:00:00Z,2023-12-11T08:00:00Z,15306.2,14.02321,12,344002.0,157.4526,-115522.21,-100.0,0.381355,-125522.21,15306.2,0.0,0.05175
13,6.77,84,2022-03-17T16:00:00Z,2022-03-31T20:00:00Z,12908.32,11.501257,13,356910.32,163.3608,-128430.53,-100.0,0.33773,-138430.53,12908.32,0.0,0.043625
14,7.29,157,2024-09-16T20:00:00Z,2024-09-30T12:00:00Z,12871.41,9.919836,14,369781.72,169.2521,-141301.94,-100.0,0.299441,-151301.94,12871.41,0.0,0.038289
15,7.81,63,2021-03-02T08:00:00Z,2021-03-16T00:00:00Z,12683.32,14.819498,15,382465.04,175.0574,-153985.26,-100.0,0.242538,-163985.26,12683.32,0.0,0.056903
