removal_index,removal_pct,removed_episode_id,removed_entry_time,removed_exit_time,removed_trade_return_pct,removed_unit_size_positive_contribution_rank,cumulative_removed_return_contribution,cumulative_removed_share_of_total_positive_return_contribution,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_return_equivalent,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,0,,,0.0,0,0.0,0.0,354310.95,73.127819,1.137892,3443.109545,0.0,0.0,0.0
1,0.52,57,2020-12-11T00:00:00Z,2021-01-11T08:00:00Z,87.915263,1,87.915263,11.0089,188548.26,57.115434,1.094258,1785.482578,165762.69,16.012385,0.043634
2,1.04,61,2021-02-02T04:00:00Z,2021-02-23T08:00:00Z,47.65338,2,135.568643,16.9761,127696.54,47.972634,1.015964,1176.965402,60851.72,9.1428,0.078294
3,1.56,12,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,46.082022,3,181.650665,22.7466,87414.27,39.591452,0.932463,774.142748,40282.27,8.381182,0.083501
4,2.08,138,2024-01-30T12:00:00Z,2024-03-05T20:00:00Z,40.770437,4,222.421102,27.8519,62097.04,32.43748,0.845162,520.970402,25317.23,7.153972,0.087301
5,2.6,7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,37.897776,5,260.318878,32.5976,45031.21,26.049335,0.753354,350.312122,17065.83,6.388145,0.091808
6,3.12,163,2024-11-02T20:00:00Z,2024-11-25T20:00:00Z,35.923378,6,296.242256,37.0959,33129.85,20.235791,0.655961,231.298507,11901.36,5.813544,0.097393
7,3.65,103,2023-01-09T00:00:00Z,2023-01-30T20:00:00Z,32.762503,7,329.004759,41.1985,24954.22,15.106297,0.555085,149.542228,8175.63,5.129494,0.100876
8,4.17,55,2020-10-29T16:00:00Z,2020-11-26T08:00:00Z,30.801606,8,359.806365,45.0555,19077.92,10.448192,0.449011,90.779177,5876.3,4.658105,0.106074
9,4.69,75,2021-10-02T12:00:00Z,2021-10-22T00:00:00Z,30.168591,9,389.974956,48.8333,14656.31,6.057716,0.333478,46.563142,4421.61,4.390476,0.115533
10,5.21,5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,26.799808,10,416.774764,52.1892,11558.62,2.253427,0.217187,15.586249,3097.69,3.804289,0.116291
11,5.73,128,2023-10-16T16:00:00Z,2023-11-14T20:00:00Z,25.510553,11,442.285317,55.3837,9209.29,-1.259278,0.09371,-7.907147,2349.33,3.512705,0.123477
12,6.25,36,2020-04-23T12:00:00Z,2020-05-10T04:00:00Z,20.628462,12,462.913779,57.9668,7634.42,-4.067545,-0.016941,-23.655784,1574.87,2.808267,0.110651
13,6.77,54,2020-10-09T00:00:00Z,2020-10-29T12:00:00Z,19.222683,13,482.136462,60.3739,6403.5,-6.627704,-0.128574,-35.965025,1230.92,2.560159,0.111633
14,7.29,71,2021-08-04T08:00:00Z,2021-08-18T00:00:00Z,17.917037,14,500.053499,62.6175,5430.51,-8.965448,-0.240689,-45.694891,972.99,2.337744,0.112115
15,7.81,29,2020-01-24T08:00:00Z,2020-02-11T04:00:00Z,16.495145,15,516.548644,64.6831,4661.58,-11.078853,-0.351178,-53.38423,768.93,2.113405,0.110489
16,8.33,8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,15.623522,16,532.172166,66.6395,4031.69,-13.042781,-0.462976,-59.683143,629.89,1.963928,0.111798
17,8.85,63,2021-03-02T08:00:00Z,2021-03-16T00:00:00Z,14.819498,17,546.991664,68.4952,3511.32,-14.871993,-0.576054,-64.88675,520.37,1.829212,0.113078
18,9.38,46,2020-07-25T20:00:00Z,2020-08-03T00:00:00Z,14.214177,18,561.205841,70.2751,3074.33,-16.594928,-0.691766,-69.256663,436.99,1.722935,0.115712
19,9.9,132,2023-11-27T20:00:00Z,2023-12-11T08:00:00Z,14.02321,19,575.229051,72.0311,2696.24,-18.261951,-0.814394,-73.03765,378.09,1.667023,0.122628
20,10.42,70,2021-07-25T12:00:00Z,2021-08-02T20:00:00Z,13.66472,20,588.893771,73.7422,2372.09,-19.856838,-0.942952,-76.279051,324.15,1.594887,0.128558
21,10.94,173,2025-05-06T00:00:00Z,2025-05-25T12:00:00Z,12.996438,21,601.890209,75.3697,2099.27,-21.349287,-1.073965,-79.007348,272.82,1.492449,0.131013
22,11.46,118,2023-06-20T12:00:00Z,2023-06-29T00:00:00Z,11.555361,22,613.44557,76.8167,1881.81,-22.661376,-1.196151,-81.181853,217.46,1.312089,0.122186
23,11.98,84,2022-03-17T16:00:00Z,2022-03-31T20:00:00Z,11.501257,23,624.946827,78.2569,1687.71,-23.9459,-1.326852,-83.122928,194.1,1.284524,0.130701
24,12.5,56,2020-11-27T20:00:00Z,2020-12-08T12:00:00Z,11.440252,24,636.387079,79.6894,1514.45,-25.202792,-1.467391,-84.855497,173.26,1.256892,0.140539
25,13.02,172,2025-04-14T20:00:00Z,2025-05-05T00:00:00Z,10.793502,25,647.180581,81.041,1366.91,-26.373012,-1.608943,-86.330875,147.54,1.17022,0.141552
26,13.54,157,2024-09-16T20:00:00Z,2024-09-30T12:00:00Z,9.919836,26,657.100417,82.2832,1243.55,-27.436598,-1.746282,-87.56446,123.36,1.063586,0.137339
27,14.06,179,2025-07-02T16:00:00Z,2025-07-15T04:00:00Z,7.519603,27,664.62002,83.2248,1156.58,-28.241495,-1.849151,-88.434165,86.97,0.804897,0.102869
28,14.58,89,2022-07-27T08:00:00Z,2022-08-01T20:00:00Z,7.324028,28,671.944048,84.1419,1077.66,-29.017584,-1.953901,-89.223443,78.92,0.776089,0.10475
29,15.1,27,2020-01-10T20:00:00Z,2020-01-19T16:00:00Z,6.896027,29,678.840075,85.0055,1008.13,-29.742102,-2.056067,-89.918655,69.53,0.724518,0.102166
30,15.62,4,2019-03-05T04:00:00Z,2019-03-25T16:00:00Z,6.517697,30,685.357772,85.8216,946.45,-30.421283,-2.156024,-90.535521,61.68,0.679181,0.099957
31,16.15,112,2023-04-09T04:00:00Z,2023-04-17T08:00:00Z,6.247293,31,691.605065,86.6039,890.8,-31.066947,-2.255455,-91.092028,55.65,0.645664,0.099431
32,16.67,161,2024-10-13T08:00:00Z,2024-10-23T08:00:00Z,6.166557,32,697.771622,87.3761,839.06,-31.698632,-2.358116,-91.609437,51.74,0.631685,0.102661
33,17.19,26,2020-01-05T00:00:00Z,2020-01-10T00:00:00Z,6.090815,33,703.862437,88.1388,790.88,-32.317098,-2.464383,-92.091151,48.18,0.618466,0.106267
