n_threshold,trigger_trade_episode_id,trigger_trade_exit_time,skipped_trade_episode_id,skipped_trade_entry_time,skipped_trade_exit_time,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,skipped_trade_native_positive_contribution_rank,skipped_trade_unit_size_positive_contribution_rank,native_top1_flag,native_top3_flag,native_top5_flag,native_top10_flag,unit_size_top1_flag,unit_size_top3_flag,unit_size_top5_flag,unit_size_top10_flag
2,18,2019-09-09T04:00:00Z,19,2019-09-11T04:00:00Z,2019-09-11T12:00:00Z,0,-0.4992,-151.81448,83,90,0,0,0,0,0,0,0,0
2,21,2019-11-01T04:00:00Z,22,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,0,-1.0022,-253.907082,87,105,0,0,0,0,0,0,0,0
2,24,2019-12-25T16:00:00Z,25,2019-12-29T04:00:00Z,2019-12-31T16:00:00Z,0,-1.730321,-399.585119,94,121,0,0,0,0,0,0,0,0
2,31,2020-02-20T12:00:00Z,32,2020-02-20T16:00:00Z,2020-02-25T16:00:00Z,0,-2.068129,-542.482219,99,126,0,0,0,0,0,0,0,0
2,39,2020-05-26T00:00:00Z,40,2020-05-28T20:00:00Z,2020-06-02T16:00:00Z,0,-0.032556,-49.124199,79,81,0,0,0,0,0,0,0,0
2,42,2020-06-15T00:00:00Z,43,2020-06-23T20:00:00Z,2020-06-24T16:00:00Z,0,-4.237869,-1102.831787,118,166,0,0,0,0,0,0,0,0
2,45,2020-07-11T12:00:00Z,46,2020-07-25T20:00:00Z,2020-08-03T00:00:00Z,1,14.214177,3210.872014,39,18,0,0,0,0,0,0,0,0
2,52,2020-09-21T12:00:00Z,53,2020-09-28T16:00:00Z,2020-10-02T08:00:00Z,0,-3.962348,-1002.906427,114,160,0,0,0,0,0,0,0,0
2,59,2021-01-21T12:00:00Z,60,2021-02-01T12:00:00Z,2021-02-01T16:00:00Z,0,-3.187471,-2235.883629,137,147,0,0,0,0,0,0,0,0
2,65,2021-03-25T12:00:00Z,66,2021-03-28T16:00:00Z,2021-04-07T12:00:00Z,0,-0.264454,-369.390511,93,84,0,0,0,0,0,0,0,0
