ledger_view,tested_window_max_removal_pct,base_terminal_value,base_cagr,base_sharpe,max_cliff_score_terminal,max_cliff_score_cagr,max_cliff_score_sharpe,first_terminal_cliff_index,first_cagr_cliff_index,first_sharpe_cliff_index,cliff_flag_terminal,cliff_flag_cagr,cliff_flag_sharpe,interpretation
native,19.79,228479.79,61.82794,1.137892,3.6044,17.3591,4.2077,1,5,28,True,True,True,single-point collapse
unit_size,19.79,354310.95,73.127819,1.137892,17.8095,5.6403,1.3237,1,1,0,True,True,False,single-point collapse
