fold,param,e0_sharpe_test,filter_sharpe_test,d_sharpe,win,best_alpha,best_frac
1,"α=10%,f=0.25",-0.889635,-0.889635,-0.000000,False,10,0.250000
2,"α=5%,f=0.25",1.193455,1.193455,0.000000,True,5,0.250000
3,"α=5%,f=0.25",1.719573,1.719573,0.000000,True,5,0.250000
4,"α=5%,f=0.25",0.047022,0.047022,-0.000000,False,5,0.250000
