branch,alpha,frac,sharpe,cagr,mdd,trades,d_sharpe,d_mdd
A,5,0.250000,1.458705,61.749364,37.725871,189,0.086927,-2.231264
A,5,0.500000,1.431743,60.473597,38.489660,189,0.059964,-1.467475
B,5,0.100000,1.348695,55.219016,40.722922,196,-0.023083,0.765788
B,5,0.250000,1.359623,56.020775,40.509581,196,-0.012156,0.552446
A,10,0.250000,1.469197,62.133265,37.342381,190,0.097418,-2.614753
A,10,0.500000,1.439887,60.778240,38.109038,190,0.068109,-1.848097
B,10,0.100000,1.237771,48.529645,45.483231,208,-0.134007,5.526096
B,10,0.250000,1.270080,50.514069,44.787064,208,-0.101698,4.829929
A,15,0.250000,1.510395,63.893336,34.818857,190,0.138616,-5.138278
A,15,0.500000,1.463977,61.698703,36.522786,190,0.092198,-3.434349
B,15,0.100000,1.215211,46.738066,44.411757,216,-0.156567,4.454622
B,15,0.250000,1.267840,49.837239,43.030852,216,-0.103939,3.073717
A,20,0.250000,1.439779,58.945422,34.818857,190,0.068000,-5.138278
A,20,0.500000,1.425546,58.855158,36.522786,190,0.053768,-3.434349
B,20,0.100000,1.206136,45.709055,44.411757,224,-0.165642,4.454622
B,20,0.250000,1.258139,48.768227,43.030852,224,-0.113640,3.073717
