fold,param,e0_sharpe_test,filter_sharpe_test,d_sharpe,win,best_alpha,best_frac
1,"α=20%,f=0.25",-0.889635,-0.889635,-0.000000,False,20,0.250000
2,"α=20%,f=0.25",1.193455,1.190892,-0.002563,False,20,0.250000
3,"α=20%,f=0.25",1.719573,1.795440,0.075867,True,20,0.250000
4,"α=15%,f=0.25",0.047022,0.047022,0.000000,True,15,0.250000
