strategy,sharpe,cagr,mdd,trades,suppress
E0,1.371778,57.716228,39.957135,189,0
"X19_A(α=20%,f=0.25)",1.439779,58.945422,34.818857,190,0
X18(α=40%),1.512553,68.715474,34.178325,157,436
X14_D(P>0.5),1.428000,64.000000,36.700000,133,812
