year,total_bars,in_trade_bars,flat_bars,in_trade_pct,flat_pct
2017,821,450,371,54.8,45.2
2018,2190,554,1636,25.3,74.7
2019,2190,959,1231,43.8,56.2
2020,2196,1281,915,58.3,41.7
2021,2190,994,1196,45.4,54.6
2022,2190,483,1707,22.1,77.9
2023,2190,1197,993,54.7,45.3
2024,2196,1179,1017,53.7,46.3
2025,2190,772,1418,35.3,64.7
2026,309,95,214,30.7,69.3
