,n,mean_bps,median_bps,std_bps,skew,kurtosis,jb_stat,jb_p,q1_bps,q3_bps,min_bps,max_bps
FLAT,10697,-2.0692,1.2159,157.2121,-0.123,22.6172,228022.99,0.0,-50.9474,52.282,-2293.66,2716.24
IN_TRADE,7964,6.2331,3.5059,135.5962,-0.3273,13.8399,63702.87,0.0,-44.9858,54.3451,-1474.29,1272.03
FULL,18661,1.474,2.102,148.4295,-0.2021,20.485,326411.18,0.0,-48.3108,53.2867,-2293.66,2716.24
