open_time,open_time_dt,close,state,trade_id
1502942400000,2017-08-17 04:00:00,4349.99,FLAT,-1
1502956800000,2017-08-17 08:00:00,4427.3,FLAT,-1
1502971200000,2017-08-17 12:00:00,4352.34,FLAT,-1
1502985600000,2017-08-17 16:00:00,4325.23,FLAT,-1
1503000000000,2017-08-17 20:00:00,4285.08,FLAT,-1
1503014400000,2017-08-18 00:00:00,4292.39,FLAT,-1
1503028800000,2017-08-18 04:00:00,4300.25,FLAT,-1
1503043200000,2017-08-18 08:00:00,4340.31,FLAT,-1
1503057600000,2017-08-18 12:00:00,4236.89,FLAT,-1
1503072000000,2017-08-18 16:00:00,4136.28,FLAT,-1
1503086400000,2017-08-18 20:00:00,4108.37,FLAT,-1
1503100800000,2017-08-19 00:00:00,4138.55,FLAT,-1
1503115200000,2017-08-19 04:00:00,4033.47,FLAT,-1
1503129600000,2017-08-19 08:00:00,3957.6,FLAT,-1
1503144000000,2017-08-19 12:00:00,3972.05,FLAT,-1
1503158400000,2017-08-19 16:00:00,4076.12,FLAT,-1
1503172800000,2017-08-19 20:00:00,4139.98,FLAT,-1
1503187200000,2017-08-20 00:00:00,4094.62,FLAT,-1
1503201600000,2017-08-20 04:00:00,4155.87,FLAT,-1
1503216000000,2017-08-20 08:00:00,4106.53,FLAT,-1
1503230400000,2017-08-20 12:00:00,4125.0,FLAT,-1
1503244800000,2017-08-20 16:00:00,4164.6,FLAT,-1
1503259200000,2017-08-20 20:00:00,4086.29,FLAT,-1
1503273600000,2017-08-21 00:00:00,4084.76,FLAT,-1
1503288000000,2017-08-21 04:00:00,4043.63,FLAT,-1
1503302400000,2017-08-21 08:00:00,4023.11,FLAT,-1
1503316800000,2017-08-21 12:00:00,4022.0,FLAT,-1
1503331200000,2017-08-21 16:00:00,4027.05,FLAT,-1
1503345600000,2017-08-21 20:00:00,4016.0,FLAT,-1
1503360000000,2017-08-22 00:00:00,3862.39,FLAT,-1
1503374400000,2017-08-22 04:00:00,3798.08,FLAT,-1
1503388800000,2017-08-22 08:00:00,3866.48,FLAT,-1
1503403200000,2017-08-22 12:00:00,3858.23,FLAT,-1
1503417600000,2017-08-22 16:00:00,3984.24,FLAT,-1
1503432000000,2017-08-22 20:00:00,4040.0,FLAT,-1
