sample,q,VR,z_homo,p_homo,z_hetero,p_hetero,n_periods,t_stat,p_value,median_VR
FULL,2,0.9550672905901377,-6.138044935011188,8.354323899339988e-10,-0.00016920432341249365,0.9998649944833722,,,,
FULL,5,0.974129369869583,-1.6130723417027104,0.10672879198900054,-4.291423618110292e-05,0.999965759393523,,,,
FULL,10,0.9474862797023197,-2.124652053716947,0.033615656955862105,-5.715133314210046e-05,0.9999543998336815,,,,
FULL,20,0.951624092825955,-1.3296829562979333,0.18362275270398065,-3.836231195476661e-05,0.9999693913035821,,,,
FLAT_per_period,2,0.820811892974616,,,,,158.0,-8.79084217791286,2.4706879077185645e-15,0.8714163034185278
FLAT_per_period,5,0.7733673018952617,,,,,113.0,-7.925418108590961,1.837637352664835e-12,0.7974857301497861
FLAT_per_period,10,0.7518019236735626,,,,,78.0,-6.980407583295746,9.053793740258979e-10,0.7529521973685318
FLAT_per_period,20,0.7192880923823469,,,,,59.0,-6.31442214708004,4.108662003098714e-08,0.6837959765793205
FLAT_concat,2,0.9514179958826737,-5.024657042428472,5.04332968942478e-07,-0.0002374088115758363,0.9998105751764246,,,,
FLAT_concat,5,0.9471280608788019,-2.49594848792592,0.012562084243602945,-0.00011518518103731679,0.9999080955226203,,,,
FLAT_concat,10,0.8745921677067269,-3.8415211912036904,0.00012227417747934233,-0.0001807361473851871,0.9998557934192074,,,,
FLAT_concat,20,0.8297764760455043,-3.5424366977151855,0.0003964485623584313,-0.00018084496391169768,0.9998557065961824,,,,
Hurst_FULL,-,0.575942568399753,,,,,,,,
Hurst_FLAT_concat,-,0.5148258990960926,,,,,,,,
Hurst_FLAT_longest,-,0.6210556406823146,,,,,,,,
