test,KW_statistic,p_value,significant_05,half1_p,half2_p,stable
Return by hour,57.43468779087568,8.894561142349156e-05,True,7.722417584441638e-05,0.014028554442675513,STABLE
|Return| by hour,594.9912227095838,5.138873785271905e-111,True,7.252759118710891e-31,2.061131308916932e-114,STABLE
Return by DoW,4.467382833403942,0.6136941310316271,False,,,
|Return| by DoW,771.8168261469752,1.889273940246288e-163,True,3.0279474782593018e-18,1.8889000559435868e-193,STABLE
