,value
total_h4_bars,18662.0
in_trade_bars,7964.0
flat_bars,10698.0
in_trade_pct,42.67
flat_pct,57.33
total_trades,221.0
sharpe,1.2999
cagr_pct,57.34
mdd_pct,51.49
win_rate_pct,41.18
avg_exposure,0.4267
in_trade_periods,221.0
flat_periods,222.0
in_trade_mean_bars,36.0
in_trade_median_bars,27.0
in_trade_max_bars,212.0
in_trade_q25_bars,13.0
in_trade_q75_bars,49.0
flat_mean_bars,48.2
flat_median_bars,11.0
flat_max_bars,621.0
flat_mean_days,8.0
flat_median_days,1.8
flat_max_days,103.5
flat_q25_bars,4.0
flat_q75_bars,46.0
