flat_idx,start_bar,end_bar,duration_bars,total_return,max_drawdown,max_runup,volatility,next_trade_return
0,0,125,126,0.030348649395107806,-0.1751573452246267,0.27298793074395483,0.017746312357060694,-0.07006089770290921
1,136,136,1,0.0,0.0,0.0,0.0,-0.037234588631328676
2,144,275,132,0.10257772048724145,-0.3306581059390048,0.5141658102089758,0.033782985242473064,0.22239233999422547
3,356,377,22,0.007342918427148965,-0.0845083871236559,0.059119139050869955,0.016274404989440026,0.005687411012238511
4,408,411,4,-0.015279114520093484,-0.015162981074236777,0.0,0.0032821865279473567,0.2370862052293862
5,490,502,13,0.04808850706096493,-0.050035069426715664,0.06928903524651878,0.02225972900266684,-0.07896822771201709
6,513,513,1,0.0,0.0,0.0,0.0,-0.09193796927364463
7,522,533,12,0.08398010966973929,-0.06900032202713684,0.13420512370440352,0.027333518117133485,0.4039988520731635
8,628,628,1,0.0,0.0,0.0,0.0,-0.07769273654999169
9,633,633,1,0.0,0.0,0.0,0.0,0.46845640456847243
10,687,687,1,0.0,0.0,0.0,0.0,0.23154614451575545
11,746,756,11,-0.007359440814948065,-0.07195955569830421,0.054960294530385825,0.029648915129261974,-0.195106714503993
12,762,762,1,0.0,0.0,0.0,0.0,0.03422596583906261
13,775,796,22,0.22493218216487038,-0.07858922454064154,0.3090808874190437,0.03444433808377326,-0.08843357625439144
14,798,846,49,0.06477027056930071,-0.1637358234295416,0.23193213572530108,0.02840185242066682,-0.04628031253921972
15,867,1103,237,-0.373601752183372,-0.6026955950032873,0.7307694853549563,0.03503609702397262,-0.01198369279757413
16,1132,1164,33,0.015439330148620188,-0.12339990141749692,0.1288604898828541,0.02158033795376638,0.005056470657530347
17,1210,1445,236,-0.281897180983111,-0.39906703875714566,0.26109231962761825,0.02380299528196804,0.10432230243263715
18,1509,1516,8,0.032468340580641186,-0.018269828918236072,0.05222516210354182,0.01667987441408415,0.004111115433135914
19,1578,1589,12,-0.0318358491368139,-0.04361711139347735,0.012842855993779661,0.008901305804290018,-0.03976518705067323
20,1603,1933,331,-0.26189142578361846,-0.3438455727080755,0.15896251443553164,0.013429099678295841,-0.04236864551635924
21,1964,2005,42,0.044735188920799085,-0.03414007550480123,0.09297150716213406,0.009085060056819055,0.1804646686162299
22,2063,2079,17,0.04155965564581365,-0.012834437939921832,0.0448990978082383,0.008027994263930114,-0.06097255803289114
23,2091,2099,9,-0.014074180310668956,-0.02717965589982774,0.013572962298358505,0.009430329791692591,-0.09098549496310664
24,2115,2251,137,-0.041148173514985814,-0.1602389860380658,0.12770650800425107,0.012930407975179099,0.03621953869797669
25,2306,2408,103,-0.04458579379887996,-0.11703829173593214,0.09512436972611446,0.009992708236139803,-0.03778328156802753
26,2424,2442,19,0.06168120949790601,-0.012734337635667168,0.0667937371934279,0.008742024266770766,-0.04646256480919947
27,2448,2449,2,0.005963110466506523,0.0,0.005980925202534084,0.0,-0.015673583925811193
28,2475,2486,12,0.018294666574544014,-0.004890267716821269,0.020404729822546736,0.004531323990133036,-0.04388639363546307
29,2520,2549,30,0.0660316463398893,-0.03599397331530671,0.11668596505818296,0.01508060513914163,-0.021545515228691234
30,2567,2570,4,-0.00616595369697879,-0.006146983214879727,0.0,0.00146375848251977,-0.008920869551768655
