trade_id,entry_ts,exit_ts,entry_price,exit_price,bars_held,days_held,pnl_usd,return_pct,exit_reason,entry_reason,entry_er30,entry_context,entry_d1_regime,entry_atr,entry_vdo,entry_ema_spread_atr,entry_price_to_slow_atr,mfe_pct,mae_pct,mfe_r,mae_r,realized_r,giveback_r,giveback_ratio,peak_time,peak_to_exit_bars,mae_before_mfe_first6,first_6_bar_mfe_r,first_6_bar_mae_r,failure_mode,is_winner
1,2019-01-04T08:00:00Z,2019-01-10T08:00:00Z,3787.064226,3773.763404,36,6.0,-64.97,-0.6497,vtrend_trail_stop,vtrend_entry,0.078676,chop,off,61.774061,0.000392,0.082504,0.278517,7.4658,2.2047,4.576934,1.351607,-0.215314,4.792248,1.047043,2019-01-08T12:00:00Z,10,True,0.872952,1.351607,late_exit_giveback,False
2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,3657.214473,3774.482685,89,14.833,287.85,2.8973,vtrend_trail_stop,vtrend_entry,0.343575,transition,on,43.093117,0.008955,0.076486,3.34194,14.7868,2.4364,12.549232,2.067719,2.721275,9.827957,0.783152,2019-02-24T00:00:00Z,3,True,0.389518,1.101208,winner,True
3,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,3817.054193,3723.273932,27,4.5,-281.03,-2.7491,vtrend_trail_stop,vtrend_entry,0.152823,chop,on,48.77318,0.003123,1.66656,0.89411,1.8587,3.6647,1.454607,2.868056,-1.922783,3.37739,2.321858,2019-02-28T12:00:00Z,22,True,1.454607,2.868056,trail_stop_noise,False
4,2019-03-05T04:00:00Z,2019-03-25T16:00:00Z,3716.713928,3958.958071,123,20.5,616.26,6.1986,vtrend_trail_stop,vtrend_entry,0.268256,transition,off,38.922967,0.001942,0.141443,-1.701807,9.487,0.1414,9.059075,0.134983,6.223681,2.835394,0.312989,2019-03-21T12:00:00Z,24,False,4.120602,0.134983,winner,True
5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,3940.077124,4996.01024,98,16.333,2789.45,26.42,vtrend_trail_stop,vtrend_entry,0.311039,transition,on,32.738147,0.001121,1.248354,0.027285,37.6115,1.1694,45.265936,1.407444,32.253906,13.01203,0.287457,2019-04-10T16:00:00Z,4,True,1.799823,1.407444,winner,True
6,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5042.488709,5215.250835,80,13.333,415.95,3.1163,vtrend_trail_stop,vtrend_entry,0.05851,chop,on,107.348396,7.3e-05,3.584369,3.212386,11.0563,1.8342,5.193476,0.861575,1.609359,3.584117,0.690119,2019-04-23T04:00:00Z,16,False,0.526429,0.368415,winner,True
7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,5320.316329,7336.597896,121,20.167,5159.21,37.4847,vtrend_trail_stop,vtrend_entry,0.041119,chop,on,107.613509,0.010069,1.892819,1.603646,57.2463,2.6599,28.302057,1.315042,18.736324,9.565733,0.337987,2019-05-14T08:00:00Z,16,False,0.206142,0.582142,winner,True
8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,7142.867514,8258.834967,79,13.167,2890.85,15.2772,vtrend_trail_stop,vtrend_entry,0.025546,chop,on,312.402962,0.001791,2.991143,1.766767,27.0395,1.0201,6.182376,0.233248,3.572205,2.610171,0.422195,2019-05-30T16:00:00Z,1,False,1.008737,0.233248,winner,True
9,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,8453.166831,8107.546369,19,3.167,-954.55,-4.376,vtrend_trail_stop,vtrend_entry,0.018014,chop,on,209.24284,0.003306,3.009188,2.911402,4.2778,4.4051,1.728199,1.779592,-1.651767,3.379966,1.955774,2019-06-02T12:00:00Z,8,False,0.825993,0.158365,trail_stop_noise,False
10,2019-06-05T08:00:00Z,2019-06-08T08:00:00Z,7831.855986,7902.131938,18,3.0,124.13,0.5951,vtrend_trend_exit,vtrend_entry,0.206972,chop,off,212.848493,0.004848,1.036548,-0.841059,3.4238,4.9449,1.259788,1.819491,0.330169,0.929619,0.737917,2019-06-07T16:00:00Z,3,True,0.304649,1.217185,winner,True
11,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,7989.313325,7911.18288,1,0.167,-267.44,-1.2746,vtrend_trend_exit,vtrend_entry,0.185643,chop,on,173.740502,0.009807,0.003114,0.146022,0.0,2.0567,0.0,0.94574,-0.449696,0.449696,0.0,2019-06-08T12:00:00Z,0,False,0.0,0.94574,other_loss,False
12,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,8090.094031,11818.172958,87,14.5,9455.56,45.6444,vtrend_trail_stop,vtrend_entry,0.089668,chop,on,153.514634,0.006698,0.006706,0.976465,72.6803,0.9897,38.301925,0.52154,24.284844,14.017081,0.365963,2019-06-26T20:00:00Z,4,False,1.431303,0.52154,winner,True
13,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,11889.380469,10379.782428,14,2.333,-3909.76,-12.9585,vtrend_trail_stop,vtrend_entry,0.118129,chop,on,674.355495,0.001574,2.285269,2.498214,2.9827,15.4708,0.525864,2.727612,-2.238579,2.764443,5.256951,2019-06-29T20:00:00Z,10,False,0.525864,0.435691,trail_stop_noise,False
14,2019-07-03T04:00:00Z,2019-07-11T08:00:00Z,11300.752282,11574.017296,49,8.167,554.46,2.1113,vtrend_trail_stop,vtrend_entry,0.009688,chop,on,555.444276,0.010553,1.086057,1.505386,16.3381,4.4626,3.324056,0.907944,0.491976,2.83208,0.851995,2019-07-10T08:00:00Z,5,False,1.258898,0.759756,winner,True
15,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,11200.702307,10402.769423,15,2.5,-1984.96,-7.4022,vtrend_trail_stop,vtrend_entry,0.006953,chop,on,446.829229,0.003488,1.345712,-0.06087,6.1094,8.0861,1.531452,2.026954,-1.785767,3.317219,2.166061,2019-07-12T20:00:00Z,10,False,1.531452,0.285797,trail_stop_noise,False
16,2019-08-03T20:00:00Z,2019-08-10T20:00:00Z,10861.993853,11320.231273,42,7.0,970.03,3.9065,vtrend_trail_stop,vtrend_entry,0.48263,trend,on,192.86023,0.000251,0.277979,3.351668,13.5215,2.8539,7.615391,1.60735,2.376008,5.239384,0.687999,2019-08-06T04:00:00Z,27,True,0.674614,1.60735,winner,True
17,2019-08-11T12:00:00Z,2019-08-13T16:00:00Z,11481.102497,10941.789998,13,2.167,-1285.63,-4.9829,vtrend_trail_stop,vtrend_entry,0.095672,chop,on,247.227784,0.004689,2.392802,2.126772,1.0356,4.9656,0.480923,2.305981,-2.18144,2.662363,5.535945,2019-08-11T20:00:00Z,10,False,0.480923,0.728488,other_loss,False
18,2019-09-06T08:00:00Z,2019-09-09T04:00:00Z,10726.588549,10289.922355,17,2.833,-1068.44,-4.3582,vtrend_trail_stop,vtrend_entry,0.514513,trend,on,179.859623,0.01243,0.684867,2.69135,1.6714,5.3753,0.996785,3.20577,-2.427817,3.424602,3.435646,2019-09-06T12:00:00Z,15,False,0.996785,3.20577,trail_stop_noise,False
19,2019-09-11T04:00:00Z,2019-09-11T12:00:00Z,10103.445873,10053.009446,2,0.333,-186.93,-0.7973,vtrend_trend_exit,vtrend_entry,0.244645,chop,off,172.729376,0.001204,0.107032,-1.023045,0.3814,2.2116,0.22309,1.293618,-0.291997,0.515086,2.308877,2019-09-11T08:00:00Z,0,True,0.22309,1.293618,false_breakout,False
20,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,10368.140369,10111.27114,13,2.167,-644.21,-2.7696,vtrend_trend_exit,vtrend_entry,0.020793,chop,on,135.355356,0.028876,0.028239,0.740959,0.5001,2.7984,0.383063,2.143546,-1.89774,2.280803,5.954119,2019-09-14T20:00:00Z,11,False,0.383063,0.856932,slow_trend_reversal,False
21,2019-10-27T00:00:00Z,2019-11-01T04:00:00Z,9239.232307,9055.058146,31,5.167,-517.22,-2.287,vtrend_trail_stop,vtrend_entry,0.250104,transition,on,343.608331,0.000642,0.284776,2.901755,7.1745,3.5309,1.929137,0.949431,-0.536,2.465138,1.277845,2019-10-28T00:00:00Z,24,False,1.617387,0.479884,trail_stop_noise,False
22,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,9108.531705,9017.245987,43,7.167,-287.01,-1.2987,vtrend_trail_stop,vtrend_entry,0.018215,chop,on,206.503348,0.001446,2.163348,2.15452,4.448,1.6856,1.961945,0.743483,-0.442054,2.404,1.225314,2019-11-04T20:00:00Z,21,False,0.825499,0.235017,trail_stop_noise,False
