episode_id,trade_id,entry_ts,exit_ts,pnl_usd,return_pct,failure_mode,exit_reason,entry_context,entry_d1_regime,is_winner
1,1,2019-01-04T08:00:00Z,2019-01-10T08:00:00Z,-64.97,-0.6497,late_exit_giveback,vtrend_trail_stop,chop,off,False
1,2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,287.85,2.8973,winner,vtrend_trail_stop,transition,on,True
2,2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,287.85,2.8973,winner,vtrend_trail_stop,transition,on,True
2,3,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,-281.03,-2.7491,trail_stop_noise,vtrend_trail_stop,chop,on,False
2,4,2019-03-05T04:00:00Z,2019-03-25T16:00:00Z,616.26,6.1986,winner,vtrend_trail_stop,transition,off,True
2,5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,2789.45,26.42,winner,vtrend_trail_stop,transition,on,True
3,5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,2789.45,26.42,winner,vtrend_trail_stop,transition,on,True
4,5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,2789.45,26.42,winner,vtrend_trail_stop,transition,on,True
4,6,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,415.95,3.1163,winner,vtrend_trail_stop,chop,on,True
5,6,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,415.95,3.1163,winner,vtrend_trail_stop,chop,on,True
5,7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,5159.21,37.4847,winner,vtrend_trail_stop,chop,on,True
6,7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,5159.21,37.4847,winner,vtrend_trail_stop,chop,on,True
7,7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,5159.21,37.4847,winner,vtrend_trail_stop,chop,on,True
7,8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,2890.85,15.2772,winner,vtrend_trail_stop,chop,on,True
8,8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,2890.85,15.2772,winner,vtrend_trail_stop,chop,on,True
9,8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,2890.85,15.2772,winner,vtrend_trail_stop,chop,on,True
9,9,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,-954.55,-4.376,trail_stop_noise,vtrend_trail_stop,chop,on,False
9,10,2019-06-05T08:00:00Z,2019-06-08T08:00:00Z,124.13,0.5951,winner,vtrend_trend_exit,chop,off,True
9,11,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,-267.44,-1.2746,other_loss,vtrend_trend_exit,chop,on,False
9,12,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,9455.56,45.6444,winner,vtrend_trail_stop,chop,on,True
10,12,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,9455.56,45.6444,winner,vtrend_trail_stop,chop,on,True
10,13,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,-3909.76,-12.9585,trail_stop_noise,vtrend_trail_stop,chop,on,False
10,14,2019-07-03T04:00:00Z,2019-07-11T08:00:00Z,554.46,2.1113,winner,vtrend_trail_stop,chop,on,True
10,15,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,-1984.96,-7.4022,trail_stop_noise,vtrend_trail_stop,chop,on,False
10,16,2019-08-03T20:00:00Z,2019-08-10T20:00:00Z,970.03,3.9065,winner,vtrend_trail_stop,trend,on,True
10,17,2019-08-11T12:00:00Z,2019-08-13T16:00:00Z,-1285.63,-4.9829,other_loss,vtrend_trail_stop,chop,on,False
10,18,2019-09-06T08:00:00Z,2019-09-09T04:00:00Z,-1068.44,-4.3582,trail_stop_noise,vtrend_trail_stop,trend,on,False
10,19,2019-09-11T04:00:00Z,2019-09-11T12:00:00Z,-186.93,-0.7973,false_breakout,vtrend_trend_exit,chop,off,False
10,20,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,-644.21,-2.7696,slow_trend_reversal,vtrend_trend_exit,chop,on,False
10,21,2019-10-27T00:00:00Z,2019-11-01T04:00:00Z,-517.22,-2.287,trail_stop_noise,vtrend_trail_stop,transition,on,False
10,22,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,-287.01,-1.2987,trail_stop_noise,vtrend_trail_stop,chop,on,False
10,23,2019-11-09T08:00:00Z,2019-11-12T04:00:00Z,-311.13,-1.4264,late_exit_giveback,vtrend_trend_exit,chop,off,False
10,24,2019-12-25T12:00:00Z,2019-12-25T16:00:00Z,-188.28,-0.8757,other_loss,vtrend_trend_exit,chop,off,False
10,25,2019-12-29T04:00:00Z,2019-12-31T16:00:00Z,-431.51,-2.0247,late_exit_giveback,vtrend_trail_stop,chop,on,False
10,26,2020-01-05T00:00:00Z,2020-01-10T00:00:00Z,1205.45,5.773,winner,vtrend_trail_stop,chop,on,True
10,27,2020-01-10T20:00:00Z,2020-01-19T16:00:00Z,1452.34,6.5758,winner,vtrend_trail_stop,chop,on,True
10,28,2020-01-21T12:00:00Z,2020-01-24T04:00:00Z,-1026.91,-4.3627,trail_stop_noise,vtrend_trail_stop,chop,on,False
10,29,2020-01-24T08:00:00Z,2020-02-11T04:00:00Z,3634.76,16.1462,winner,vtrend_trail_stop,transition,on,True
10,30,2020-02-11T16:00:00Z,2020-02-16T16:00:00Z,-914.75,-3.4986,late_exit_giveback,vtrend_trail_stop,chop,on,False
