episode_id,peak_date,trough_date,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,overlap_trades,overlap_losers,overlap_net_pnl_usd,overlap_loser_pnl_usd,top_failure_mode,share_of_total_drawdown_mass_pct
10,2019-06-26T19:59:59Z,2020-01-05T23:59:59Z,2020-11-17T15:59:59Z,41.61185726762927,1159,3059,44,29,15588.304914885408,-25228.699967349105,trail_stop_noise,10.363275912512595
22,2021-11-09T03:59:59Z,2023-03-16T03:59:59Z,2024-02-26T19:59:59Z,40.614611771107235,2952,5038,61,42,38535.81352943842,-137179.87138267283,late_exit_giveback,10.114915687529125
23,2024-03-04T23:59:59Z,2024-10-13T15:59:59Z,2024-11-21T03:59:59Z,33.01308047163736,1336,1567,26,15,67560.8775491263,-66621.05422725249,false_breakout,8.221783023265932
15,2021-01-08T11:59:59Z,2021-02-01T19:59:59Z,2021-02-09T07:59:59Z,28.732287617777974,146,191,5,3,55135.57159973715,-10717.026179390446,late_exit_giveback,7.155667728686953
17,2021-02-21T19:59:59Z,2021-07-25T15:59:59Z,2021-08-09T11:59:59Z,26.645452737231047,923,1012,11,6,45562.68252709433,-29534.504144531944,trail_stop_noise,6.635949382258164
28,2025-07-14T07:59:59Z,2026-01-21T11:59:59Z,,19.127307768166524,1147,,14,7,-16473.333018536705,-50268.750263594484,false_breakout,4.763583768688352
20,2021-09-06T23:59:59Z,2021-10-04T03:59:59Z,2021-10-14T03:59:59Z,18.21400669091252,163,223,3,2,22774.25004819906,-8680.976628200558,other_loss,4.536129584321986
26,2024-12-17T03:59:59Z,2025-04-16T07:59:59Z,2025-05-08T19:59:59Z,16.656104458340092,721,856,9,5,32562.896956490895,-22375.292405364213,false_breakout,4.148139916448475
9,2019-05-30T15:59:59Z,2019-06-06T19:59:59Z,2019-06-17T19:59:59Z,14.592297265985255,43,109,5,2,11248.549875011058,-1221.9939277615006,trail_stop_noise,3.6341565288038393
27,2025-05-22T03:59:59Z,2025-07-04T19:59:59Z,2025-07-14T07:59:59Z,12.323586985706815,262,319,7,4,25151.938539703144,-17775.9902713977,false_breakout,3.069142800892945
2,2019-02-24T03:59:59Z,2019-03-04T11:59:59Z,2019-04-02T07:59:59Z,12.098866335478276,50,223,4,1,3412.523267774437,-281.0337407855554,trail_stop_noise,3.0131769715722423
7,2019-05-14T07:59:59Z,2019-05-17T07:59:59Z,2019-05-19T23:59:59Z,11.96957098534398,18,34,2,0,8050.063213385834,0.0,none,2.98097645288285
21,2021-10-20T15:59:59Z,2021-11-01T03:59:59Z,2021-11-09T03:59:59Z,11.096071463000722,69,117,4,2,33818.70447155049,-4136.804312606094,late_exit_giveback,2.7634346954633093
14,2021-01-03T07:59:59Z,2021-01-04T11:59:59Z,2021-01-06T07:59:59Z,10.76640948045905,7,18,1,0,35234.520945139986,0.0,none,2.6813336236228333
18,2021-08-13T23:59:59Z,2021-08-19T03:59:59Z,2021-08-20T23:59:59Z,10.560418965041196,31,42,2,0,20390.759734971125,0.0,none,2.6300324636456134
11,2020-11-24T15:59:59Z,2020-11-26T11:59:59Z,2020-11-30T03:59:59Z,9.25505596484706,11,33,2,0,12497.679365120368,0.0,none,2.304936737925131
6,2019-05-12T07:59:59Z,2019-05-12T15:59:59Z,2019-05-13T15:59:59Z,8.564167759512442,2,8,1,0,5159.20827007358,0.0,none,2.1328736394064998
5,2019-04-23T19:59:59Z,2019-04-30T03:59:59Z,2019-05-03T11:59:59Z,8.413252116065584,38,58,2,0,5575.159958453726,0.0,none,2.0952886683129166
12,2020-11-30T23:59:59Z,2020-12-11T11:59:59Z,2020-12-13T11:59:59Z,8.364127322571147,63,75,2,0,39266.600469654615,0.0,none,2.083054324004423
1,2019-01-06T19:59:59Z,2019-02-14T11:59:59Z,2019-02-18T19:59:59Z,7.854051351999991,232,258,2,1,222.87938704444775,-64.97158136328568,late_exit_giveback,1.9560218297474636
4,2019-04-10T19:59:59Z,2019-04-15T19:59:59Z,2019-04-23T07:59:59Z,7.811348929634832,30,75,2,0,3205.4002712508045,0.0,none,1.9453869527157421
8,2019-05-19T23:59:59Z,2019-05-23T07:59:59Z,2019-05-26T19:59:59Z,6.879687990889094,20,41,1,0,2890.854943312255,0.0,none,1.7133603141777054
16,2021-02-09T07:59:59Z,2021-02-10T15:59:59Z,2021-02-11T15:59:59Z,6.635792983534494,8,14,1,0,30618.076833987616,0.0,none,1.6526191836234045
25,2024-12-05T03:59:59Z,2024-12-10T15:59:59Z,2024-12-15T11:59:59Z,6.588690987078049,33,62,2,0,15199.011999887483,0.0,none,1.6408886092784798
24,2024-11-22T07:59:59Z,2024-11-26T19:59:59Z,2024-11-29T15:59:59Z,6.173327349555036,27,44,2,0,59513.573924890676,0.0,none,1.5374438639023957
3,2019-04-03T19:59:59Z,2019-04-04T19:59:59Z,2019-04-06T19:59:59Z,5.77147812401514,6,18,1,0,2789.448582870659,0.0,none,1.437364831795865
19,2021-08-23T11:59:59Z,2021-08-25T03:59:59Z,2021-09-02T07:59:59Z,5.635380625917607,10,59,2,1,2920.984935100675,-973.7902459281038,other_loss,1.4034702638433652
13,2020-12-21T07:59:59Z,2020-12-21T11:59:59Z,2020-12-25T11:59:59Z,5.563594662218518,1,25,1,0,35234.520945139986,0.0,none,1.3855922406713976
