trade_id,entry_ts,exit_ts,entry_price,exit_price,bars_held,days_held,pnl_usd,return_pct,exit_reason,entry_reason,entry_er30,entry_context,entry_d1_regime,entry_atr,entry_vdo,entry_ema_spread_atr,entry_price_to_slow_atr,mfe_pct,mae_pct,mfe_r,mae_r,realized_r,giveback_r,giveback_ratio,peak_time,peak_to_exit_bars,mae_before_mfe_first6,first_6_bar_mfe_r,first_6_bar_mae_r,failure_mode,is_winner
185,2025-10-08T12:00:00Z,2025-10-10T20:00:00Z,123007.054861,116544.867665,14,2.333,-12767.69,-5.5373,vtrend_trail_stop,vtrend_entry,0.131829,chop,on,1313.337613,0.010437,3.401274,4.098001,0.9676,5.7351,0.906237,5.371494,-4.920431,5.826668,6.429519,2025-10-08T16:00:00Z,12,True,0.906237,1.417431,false_breakout,False
79,2021-11-15T04:00:00Z,2021-11-16T04:00:00Z,65778.389088,60846.507827,6,1.0,-10841.88,-7.7748,vtrend_trail_stop,vtrend_entry,0.049102,chop,on,1059.385449,0.004944,1.485223,2.56686,0.9478,8.1428,0.588484,5.05594,-4.655417,5.243901,8.910871,2021-11-15T08:00:00Z,4,False,0.588484,5.05594,trail_stop_noise,False
140,2024-03-17T12:00:00Z,2024-03-19T12:00:00Z,67022.462229,63018.27443,12,2.0,-10712.27,-6.2561,vtrend_trail_stop,vtrend_entry,0.210866,chop,on,1843.127248,0.000106,1.894166,0.885314,2.8849,6.7402,1.049053,2.450977,-2.172497,3.221549,3.070913,2024-03-18T04:00:00Z,7,False,1.049053,0.31769,trail_stop_noise,False
143,2024-04-01T20:00:00Z,2024-04-02T12:00:00Z,69717.675422,65557.083716,4,0.667,-9586.25,-6.2494,vtrend_trail_stop,vtrend_entry,0.072617,chop,on,959.613302,0.006474,2.00176,1.973112,0.2615,6.6593,0.189998,4.838069,-4.335696,4.525694,23.819697,2024-04-01T20:00:00Z,3,True,0.189998,4.838069,false_breakout,False
186,2025-10-27T20:00:00Z,2025-10-29T20:00:00Z,115057.611376,110529.38766,12,2.0,-9198.83,-4.2234,vtrend_trail_stop,vtrend_entry,0.562933,trend,on,1104.97061,0.031228,0.088605,2.537731,0.8938,5.091,0.930693,5.301147,-4.098049,5.028742,5.403222,2025-10-28T12:00:00Z,7,True,0.930693,1.424754,false_breakout,False
171,2025-03-27T04:00:00Z,2025-03-28T16:00:00Z,87757.862088,83967.119863,9,1.5,-9005.49,-4.6062,vtrend_trail_stop,vtrend_entry,0.249859,chop,on,1000.627494,0.004508,0.721859,1.961707,0.0,4.3347,0.0,3.801617,-3.788365,3.788365,0.0,2025-03-27T20:00:00Z,4,True,0.0,1.956634,false_breakout,False
174,2025-05-27T00:00:00Z,2025-05-29T20:00:00Z,109544.242139,105626.034693,17,2.833,-8971.94,-3.8657,vtrend_trail_stop,vtrend_entry,0.010718,chop,on,1275.261658,0.000728,3.173245,3.911824,1.0715,3.5647,0.920406,3.062071,-3.072473,3.992879,4.338174,2025-05-27T12:00:00Z,13,True,0.920406,1.590005,false_breakout,False
83,2022-03-01T16:00:00Z,2022-03-04T16:00:00Z,43687.344601,40653.635854,18,3.0,-8879.88,-7.2229,vtrend_trail_stop,vtrend_entry,0.478978,trend,on,1212.063648,0.00201,0.094375,3.040372,3.9203,7.1813,1.413008,2.588399,-2.502929,3.915936,2.771348,2022-03-02T12:00:00Z,12,False,1.413008,0.475127,trail_stop_noise,False
62,2021-02-24T00:00:00Z,2021-02-28T04:00:00Z,48939.903223,44588.078458,25,4.167,-8750.07,-9.1651,vtrend_trail_stop,vtrend_entry,0.075492,chop,on,2670.695604,0.001995,1.695492,0.423365,6.338,9.8756,1.16143,1.809687,-1.629472,2.790903,2.402988,2021-02-25T12:00:00Z,15,False,0.91178,0.730601,trail_stop_noise,False
191,2026-01-19T12:00:00Z,2026-01-20T20:00:00Z,93285.175258,89636.066661,8,1.333,-8670.55,-4.1996,vtrend_trail_stop,vtrend_entry,0.116755,chop,on,795.835208,0.001775,2.437541,0.931526,0.1445,4.2801,0.169413,5.016987,-4.585257,4.754669,28.065571,2026-01-19T16:00:00Z,6,True,0.169413,3.257176,false_breakout,False
141,2024-03-21T00:00:00Z,2024-03-23T12:00:00Z,67908.36747,64564.996547,15,2.5,-8360.05,-5.2082,vtrend_trend_exit,vtrend_entry,0.061114,chop,off,2019.384828,0.002937,0.328364,1.216145,0.489,8.3176,0.164457,2.797073,-1.655638,1.820096,11.067285,2024-03-21T00:00:00Z,14,True,0.164457,1.673459,false_breakout,False
92,2022-08-18T04:00:00Z,2022-08-19T08:00:00Z,23457.690109,21885.468107,7,1.167,-8017.68,-6.9818,vtrend_trail_stop,vtrend_entry,0.27631,transition,off,374.497999,0.000238,0.976153,-0.211029,0.6067,8.5683,0.380002,5.366998,-4.198212,4.578214,12.047876,2022-08-18T12:00:00Z,4,True,0.380002,1.993549,false_breakout,False
74,2021-09-18T08:00:00Z,2021-09-20T04:00:00Z,48670.644166,45497.218636,11,1.833,-7707.19,-6.8002,vtrend_trail_stop,vtrend_entry,0.386489,transition,on,836.321319,0.006477,0.051455,1.692505,0.3162,7.3363,0.184015,4.269464,-3.794505,3.97852,21.620607,2021-09-18T08:00:00Z,10,True,0.184015,1.289952,false_breakout,False
59,2021-01-17T20:00:00Z,2021-01-21T12:00:00Z,35669.542808,32174.691162,22,3.667,-7522.07,-10.0681,vtrend_trail_stop,vtrend_entry,0.045909,chop,on,1593.552588,0.001991,1.595893,1.097442,6.1129,10.2605,1.368299,2.296669,-2.19312,3.561419,2.602807,2021-01-19T16:00:00Z,10,False,1.129732,0.545663,trail_stop_noise,False
190,2026-01-18T20:00:00Z,2026-01-19T04:00:00Z,95476.394835,92597.413093,2,0.333,-7058.75,-3.3059,vtrend_trail_stop,vtrend_entry,0.089178,chop,on,670.563475,0.00216,3.585555,4.430103,0.0573,3.7352,0.081611,5.318206,-4.293377,4.374988,53.608005,2026-01-18T20:00:00Z,1,True,0.081611,5.318206,false_breakout,False
