removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,354310.95,73.127819,1.137892,0.0,0.0,0.0
1,0.52,188548.26,57.115434,1.094258,165762.69,16.012385,0.043634
2,1.04,127696.54,47.972634,1.015964,60851.72,9.1428,0.078294
3,1.56,87414.27,39.591452,0.932463,40282.27,8.381182,0.083501
4,2.08,62097.04,32.43748,0.845162,25317.23,7.153972,0.087301
5,2.6,45031.21,26.049335,0.753354,17065.83,6.388145,0.091808
6,3.12,33129.85,20.235791,0.655961,11901.36,5.813544,0.097393
7,3.65,24954.22,15.106297,0.555085,8175.63,5.129494,0.100876
8,4.17,19077.92,10.448192,0.449011,5876.3,4.658105,0.106074
9,4.69,14656.31,6.057716,0.333478,4421.61,4.390476,0.115533
10,5.21,11558.62,2.253427,0.217187,3097.69,3.804289,0.116291
11,5.73,9209.29,-1.259278,0.09371,2349.33,3.512705,0.123477
12,6.25,7634.42,-4.067545,-0.016941,1574.87,2.808267,0.110651
13,6.77,6403.5,-6.627704,-0.128574,1230.92,2.560159,0.111633
14,7.29,5430.51,-8.965448,-0.240689,972.99,2.337744,0.112115
15,7.81,4661.58,-11.078853,-0.351178,768.93,2.113405,0.110489
16,8.33,4031.69,-13.042781,-0.462976,629.89,1.963928,0.111798
17,8.85,3511.32,-14.871993,-0.576054,520.37,1.829212,0.113078
18,9.38,3074.33,-16.594928,-0.691766,436.99,1.722935,0.115712
19,9.9,2696.24,-18.261951,-0.814394,378.09,1.667023,0.122628
20,10.42,2372.09,-19.856838,-0.942952,324.15,1.594887,0.128558
21,10.94,2099.27,-21.349287,-1.073965,272.82,1.492449,0.131013
22,11.46,1881.81,-22.661376,-1.196151,217.46,1.312089,0.122186
23,11.98,1687.71,-23.9459,-1.326852,194.1,1.284524,0.130701
24,12.5,1514.45,-25.202792,-1.467391,173.26,1.256892,0.140539
25,13.02,1366.91,-26.373012,-1.608943,147.54,1.17022,0.141552
26,13.54,1243.55,-27.436598,-1.746282,123.36,1.063586,0.137339
27,14.06,1156.58,-28.241495,-1.849151,86.97,0.804897,0.102869
28,14.58,1077.66,-29.017584,-1.953901,78.92,0.776089,0.10475
29,15.1,1008.13,-29.742102,-2.056067,69.53,0.724518,0.102166
30,15.62,946.45,-30.421283,-2.156024,61.68,0.679181,0.099957
31,16.15,890.8,-31.066947,-2.255455,55.65,0.645664,0.099431
32,16.67,839.06,-31.698632,-2.358116,51.74,0.631685,0.102661
33,17.19,790.88,-32.317098,-2.464383,48.18,0.618466,0.106267
34,17.71,749.85,-32.869655,-2.561979,41.03,0.552557,0.097596
35,18.23,712.42,-33.396336,-2.65909,37.43,0.526681,0.097111
36,18.75,677.18,-33.914185,-2.759651,35.24,0.517849,0.100561
37,19.27,649.68,-34.334356,-2.841287,27.5,0.420171,0.081636
38,19.79,623.38,-34.75048,-2.925766,26.3,0.416124,0.084479
