removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,228479.79,61.82794,1.137892,218479.79,0.0,0.0,0.0
1,0.52,178541.45,55.802794,1.073418,168541.45,49938.34,6.025146,0.064474
2,1.04,129058.56,48.214359,1.001875,119058.56,49482.89,7.588435,0.071543
3,1.56,93763.63,41.105439,0.942888,83763.63,35294.93,7.10892,0.058987
4,2.08,62150.19,32.454913,0.870618,52150.19,31613.44,8.650526,0.07227
5,2.6,31434.98,19.268321,0.774896,21434.98,30715.21,13.186592,0.095722
6,3.12,1403.39,-26.07412,0.68723,-8596.61,30031.59,45.342441,0.087666
7,3.65,-24982.56,-100.0,0.643071,-34982.56,26385.95,73.92588,0.044159
8,4.17,-47944.44,-100.0,0.563343,-57944.44,22961.88,0.0,0.079728
9,4.69,-67735.16,-100.0,0.524293,-77735.16,19790.72,0.0,0.03905
10,5.21,-84371.81,-100.0,0.461625,-94371.81,16636.65,0.0,0.062668
11,5.73,-100216.01,-100.0,0.433105,-110216.01,15844.2,0.0,0.02852
12,6.25,-115522.21,-100.0,0.381355,-125522.21,15306.2,0.0,0.05175
13,6.77,-128430.53,-100.0,0.33773,-138430.53,12908.32,0.0,0.043625
14,7.29,-141301.94,-100.0,0.299441,-151301.94,12871.41,0.0,0.038289
15,7.81,-153985.26,-100.0,0.242538,-163985.26,12683.32,0.0,0.056903
16,8.33,-165152.18,-100.0,0.188814,-175152.18,11166.92,0.0,0.053724
17,8.85,-175371.32,-100.0,0.142391,-185371.32,10219.14,0.0,0.046423
18,9.38,-185440.47,-100.0,0.119956,-195440.47,10069.15,0.0,0.022435
19,9.9,-194927.06,-100.0,-0.081033,-204927.06,9486.59,0.0,0.200989
20,10.42,-203434.35,-100.0,-0.244727,-213434.35,8507.29,0.0,0.163694
21,10.94,-211542.89,-100.0,-0.266125,-221542.89,8108.54,0.0,0.021398
22,11.46,-219314.47,-100.0,-0.29875,-229314.47,7771.58,0.0,0.032625
23,11.98,-227070.46,-100.0,-0.338077,-237070.46,7755.99,0.0,0.039327
24,12.5,-233769.87,-100.0,-0.365937,-243769.87,6699.41,0.0,0.02786
25,13.02,-240416.14,-100.0,-0.382519,-250416.14,6646.27,0.0,0.016582
26,13.54,-246488.02,-100.0,-0.416526,-256488.02,6071.88,0.0,0.034007
27,14.06,-252200.92,-100.0,-0.432715,-262200.92,5712.9,0.0,0.016189
28,14.58,-257380.75,-100.0,-0.73317,-267380.75,5179.83,0.0,0.300455
29,15.1,-262071.65,-100.0,-0.909461,-272071.65,4690.9,0.0,0.176291
30,15.62,-266591.62,-100.0,-0.947997,-276591.62,4519.97,0.0,0.038536
31,16.15,-271045.02,-100.0,-1.136643,-281045.02,4453.4,0.0,0.188646
32,16.67,-275279.85,-100.0,-1.154142,-285279.85,4234.83,0.0,0.017499
33,17.19,-279366.3,-100.0,-1.263226,-289366.3,4086.45,0.0,0.109084
34,17.71,-283426.45,-100.0,-1.295365,-293426.45,4060.15,0.0,0.032139
35,18.23,-287378.92,-100.0,-1.319496,-297378.92,3952.47,0.0,0.024131
36,18.75,-291047.4,-100.0,-1.515798,-301047.4,3668.48,0.0,0.196302
37,19.27,-294676.89,-100.0,-1.540625,-304676.89,3629.49,0.0,0.024827
38,19.79,-298004.74,-100.0,-1.575528,-308004.74,3327.85,0.0,0.034903
