strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,avg_days_held,turnover_per_year
E5,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,0.4448,6.17,51.53
E5,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,0.4448,6.17,51.57
E5,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,0.4448,6.17,51.57
BE_0.8,smart,1.6758,75.54,35.4,2.1338,191,43.98,1.9,0.4425,6.04,52.66
BE_0.8,base,1.5484,67.29,37.5,1.7942,191,41.88,1.7415,0.4425,6.04,52.65
BE_0.8,harsh,1.4136,59.0,40.97,1.4401,191,40.84,1.6001,0.4425,6.04,52.59
BE_1.0,smart,1.712,78.1,35.4,2.206,189,44.97,1.952,0.4446,6.13,52.33
BE_1.0,base,1.5861,69.81,37.5,1.8614,189,42.86,1.7881,0.4446,6.13,52.31
BE_1.0,harsh,1.4529,61.48,40.97,1.5007,189,41.8,1.6413,0.4446,6.13,52.26
