strategy,sharpe_median,sharpe_p5,sharpe_p95,cagr_median,cagr_p5,cagr_p95,mdd_median,mdd_p5,mdd_p95,p_cagr_gt0,p_sharpe_gt0
E5,0.572066795222211,-0.1320458192462857,1.2577161765310974,13.986627557401166,-8.606644859179774,46.374887638551584,52.1958198150775,35.19168005723753,74.98486766892776,0.844,0.918
BE_0.8,0.5618062468296598,-0.13104362905096656,1.2532113091856298,13.698270169089998,-8.69617311126436,45.22539810122595,52.35898193927844,35.43165951000539,74.67057898989222,0.842,0.914
BE_1.0,0.5664678361195886,-0.13938909757429202,1.2576555839382,14.02277094697595,-9.191749045552092,45.31475874561843,52.32861711448237,35.43533396943367,74.64647117293885,0.836,0.916
