slow_period,e5_sharpe,e5_cagr,e5_mdd,be08_sharpe,be08_cagr,be08_mdd,be10_sharpe,be10_cagr,be10_mdd
30,1.0830,38.34,46.80,1.0700,37.67,46.72,1.0726,37.82,46.80
48,0.9949,34.74,46.52,0.9691,33.46,46.19,0.9779,33.92,46.52
60,1.1569,43.78,41.12,1.1236,41.99,44.82,1.1283,42.27,44.82
72,1.2275,47.90,42.05,1.2128,47.04,43.06,1.2172,47.32,43.06
84,1.2478,49.55,41.24,1.2502,49.63,41.24,1.2441,49.34,41.24
96,1.2540,49.93,43.43,1.2552,49.94,43.43,1.2502,49.71,43.43
108,1.3853,57.42,39.97,1.3689,56.38,41.02,1.3750,56.80,41.02
120,1.4690,62.48,40.90,1.4215,59.47,40.90,1.4588,61.85,40.90
144,1.4497,60.72,41.11,1.4108,58.29,40.73,1.4484,60.65,40.73
168,1.3132,52.44,46.67,1.2754,50.22,46.10,1.3093,52.23,46.67
200,1.5464,64.88,36.52,1.5041,62.23,36.52,1.5425,64.65,36.52
240,1.4022,55.65,39.95,1.3618,53.28,39.95,1.4008,55.56,39.95
300,1.3000,49.62,39.19,1.2461,46.67,39.19,1.2960,49.41,39.19
360,1.2909,48.61,38.12,1.2470,46.22,38.12,1.2869,48.40,38.12
500,1.2132,43.99,45.78,1.1646,41.54,45.78,1.1926,42.98,45.78
720,1.0980,37.56,39.02,1.0483,35.22,41.42,1.0770,36.60,41.42
