scenario,model,total_score,return_term,mdd_penalty,sharpe_term,profit_factor_term,trade_count_term,reject_term,residual
harsh,candidate,37.656499999999994,46.574999999999996,-23.37,6.74,2.7115,5.0,0.0,0.0
harsh,baseline,91.0416,93.625,-21.54,9.4976,4.459,5.0,0.0,0.0
