spec,feature,q,cal_lb,wf_sharpe,hold_sharpe,wf_cagr,hold_cagr,wf_pos_years,wf_min_year_cagr,hold_trades,hold_mdd
fast_30d_ret,d1_ret_30,0.6,expanding,1.6669210353857686,0.44501970615618813,0.7483238466225526,0.10991313911160905,3,-0.02287582167844493,47,-0.2861364584466465
mid_40d_ret,d1_ret_40,0.6,expanding,1.7573630710637744,0.6624322430709525,0.8615139341357989,0.1770411466527262,3,-0.07581564227080162,47,-0.2897574075504179
slow_60d_ret_3y,d1_ret_60,0.5,1095,1.5883696180390718,0.8771961204168859,0.8433025732921604,0.2924597226207557,4,0.03762186148911906,43,-0.28996354464899166
slow_60d_trendq_3y,d1_trendq_60,0.5,1095,1.4872020491031919,1.0141906591833882,0.7511313515363554,0.3519553313540902,4,0.0021082949108688354,35,-0.24449670430528314
