fold,test_start,test_end,days,total_return,CAGR,Sharpe,MDD,Exposure,Turnover,TradesEst
1,2021-01-01,2021-06-30,181,0.09264524034553934,0.19562815384675392,0.6264679136001005,-0.19943550791819797,0.15668202764976957,15.0,7.5
2,2021-07-01,2021-12-31,184,0.4515092467568218,1.0941184698614923,3.0244294004874264,-0.05899393479640447,0.17407071622846781,16.0,8.0
3,2022-01-01,2022-06-30,181,-0.004349294076037125,-0.008751287112100381,-0.09202424831161239,-0.045049761441210534,0.04423963133640553,4.0,2.0
4,2022-07-01,2022-12-31,184,-0.001272616569871321,-0.0025229037860390324,0.04000870654811291,-0.08133984782738202,0.043517679057116954,4.0,2.0
5,2023-01-01,2023-06-30,181,0.2766670662288724,0.6364905565086583,2.312997401175671,-0.04229563313568219,0.1327188940092166,12.0,6.0
6,2023-07-01,2023-12-31,184,0.030499084554493017,0.0614083206253917,0.9255562624711976,-0.030885961085602487,0.06527651858567543,6.0,3.0
