candidate,block,median_Sharpe,median_CAGR,P_Sharpe_gt_0,median_MDD
A_persistence,10,0.8783013115428557,0.21879763206855607,0.998,-0.3132854906389167
A_persistence,20,0.8722210593733413,0.21283021620489462,0.997,-0.3046509843051012
A_persistence,40,0.8565984388424023,0.21017729683005015,0.997,-0.3119392127709696
B2_pullback,10,1.361168084474919,0.36433842049027243,1.0,-0.25708252623057487
B2_pullback,20,1.332406844284209,0.3544176358149429,1.0,-0.2551922728891028
B2_pullback,40,1.3253746360495424,0.3488876992746883,1.0,-0.2602335264543916
B4_sparse_pullback,10,0.9890368368272837,0.21360791639690757,0.995,-0.2653695061393175
B4_sparse_pullback,20,0.9762236583897932,0.2138279928742025,0.997,-0.2518126441140828
B4_sparse_pullback,40,0.9565407779667632,0.20531594032440437,0.998,-0.23704159641554934
D_breakout,10,0.38969828345905067,0.0535419097627452,0.794,-0.32753896717181263
D_breakout,20,0.35962842662048644,0.04744858619168424,0.768,-0.3436186740775016
D_breakout,40,0.3363471776337864,0.0450095656899101,0.751,-0.35153896173772164
