candidate,days,total_return,CAGR,Sharpe,Sortino,MDD,Calmar,Trades,WinRate,ProfitFactor,Exposure,Turnover,AvgTrade,MedianHoldDays,Top5TradePnLShare
A_persistence,2608,3.0653,0.2169,0.8747,0.6615,-0.3358,0.6459,211,0.2701,1.7758,0.1328,422.0,0.008,0.6667,0.3608
B2_pullback,2608,8.0281,0.3606,1.3447,0.8825,-0.3527,1.0224,87,0.6897,3.1874,0.1335,174.0,0.028,4.1667,0.118
B4_sparse_pullback,2608,2.9224,0.2108,0.9626,0.5126,-0.2967,0.7104,79,0.557,2.4739,0.1068,158.0,0.0198,4.1667,0.3493
D_breakout,2608,0.3932,0.0475,0.3556,0.1761,-0.346,0.1373,143,0.4615,1.2341,0.0549,286.0,0.0031,1.1667,1.2929
