candidate,epoch,days,total_return,CAGR,Sharpe,Sortino,MDD,Calmar,Trades,WinRate,ProfitFactor,Exposure,Turnover,AvgTrade,MedianHoldDays,Top5TradePnLShare
A_persistence,2019-2020,731,0.663510109485814,0.2893224419457765,0.9194809828267069,0.7160922225667234,-0.33579235068078717,0.8616111753564447,72,0.2916666666666667,1.6946152570588484,0.17256334170280757,143.0,0.008615992989803374,0.8333333333333334,1.26971429405052
A_persistence,2021,365,0.649883966758618,0.649883966758618,1.5495188545897087,1.6520163883440921,-0.16198180699049014,4.012079991160812,41,0.34146341463414637,2.3432705384164536,0.17625570776255708,81.0,0.014374315099610199,0.8333333333333334,1.32985414234572
A_persistence,2022,365,-0.17127333960461766,-0.17127333960461766,-1.3301179472133127,-0.6313166401426472,-0.224682605804017,-0.7622901603429576,23,0.13043478260869565,0.34894692242730774,0.07123287671232877,46.0,-0.007953307341760522,0.5,93624353.66105902
A_persistence,2023,365,0.49849068537442287,0.49849068537442287,1.9365139672799758,2.289470046701038,-0.0732052171093065,6.809496714286095,23,0.2608695652173913,3.161820291210898,0.14063926940639268,46.0,0.01950188025239546,0.6666666666666666,1.2846347031841743
A_persistence,2024-2026-02,782,0.19274749508660438,0.08574831826971208,0.5562333824266349,0.36663561065259326,-0.23006806554113568,0.37270847680674946,53,0.2641509433962264,1.5895287803526421,0.10061820507354509,106.0,0.003918279134607954,0.5,2.509350159544234
A_persistence,2024,366,0.23590655253905712,0.23519153846483443,0.9844535705089251,0.8244721616909687,-0.23006806554113568,1.0222693788972754,40,0.25,1.9216038922170249,0.15027322404371585,80.0,0.006050318745791844,0.5,2.0466161952802224
A_persistence,2025,365,-0.026881540927553127,-0.026881540927553127,-0.32690986286536433,-0.13097218668072474,-0.05324388449817763,-0.5048756524981418,11,0.36363636363636365,0.6797149006629724,0.06347031963470319,22.0,-0.0023696844253330396,1.3333333333333333,53568588.54753321
A_persistence,2026-YTD,51,-0.008261512728217846,-0.05764395002888201,-4.637904879232794,-2.342120139900675,-0.008261512728217846,-6.977408608473672,2,0.0,0.0,0.009836065573770493,4.0,-0.004138713509394376,0.4166666666666667,-8277427.018788752
B2_pullback,2019-2020,731,1.9559189122739777,0.718004539289834,1.787484405735469,1.3417667619681748,-0.2676216985724804,2.682908535143968,38,0.6842105263157895,3.39942874596899,0.20771513353115728,75.0,0.03136406313469584,4.166666666666667,0.3861473980648481
B2_pullback,2021,365,0.6239250287512161,0.6239250287512161,1.4091771115526457,1.4226112881504227,-0.3527427034174583,1.768782239027134,21,0.6190476190476191,2.20343629991835,0.22009132420091324,41.0,0.027752122518862783,4.166666666666667,1.2340824636395633
B2_pullback,2022,365,-0.005616375662199968,-0.005616375662199968,-0.006551728683353115,-0.0035011955446957394,-0.0813398478273819,-0.0690482686188318,4,0.5,0.9317118859789106,0.043835616438356165,8.0,-0.000910944850134987,4.166666666666667,-3643779.400539948
B2_pullback,2023,365,0.3663392899697633,0.3663392899697633,1.9597136904614012,1.7193106645763998,-0.042295633135681965,8.661397473223012,11,0.8181818181818182,76.5261822343753,0.12054794520547946,22.0,0.02943703198758265,4.166666666666667,0.7696694677136999
B2_pullback,2024-2026-02,782,0.38428283231968563,0.1639034664119925,1.271679509807137,0.5827460383710752,-0.08612001189206164,1.9031983717956356,14,0.7857142857142857,5.541681585171585,0.07162651886591345,28.0,0.024361603867282082,4.166666666666667,0.8858929008211556
B2_pullback,2024,366,0.30279039883084224,0.30184921154887556,1.5611094142349984,0.9504352837028097,-0.08612001189206164,3.5049833937226773,10,0.7,4.726250302073507,0.1092896174863388,20.0,0.027982676657072502,4.166666666666667,1.124320435436402
B2_pullback,2025,365,0.06255222141794747,0.06255222141794747,1.602861859825939,0.6143412638302824,-0.01752911257710177,3.5684762216462267,4,1.0,,0.043835616438356165,8.0,0.015308921892806027,4.166666666666667,0.9789530440825369
B2_pullback,2026-YTD,51,0.0,0.0,,,0.0,,0,,,0.0,0.0,,,
B4_sparse_pullback,2019-2020,731,1.3459459388990087,0.5307550625417126,1.626046034663414,1.075571031299382,-0.15549308289599983,3.4133676730604368,33,0.696969696969697,5.868263092006838,0.16503081488244692,66.0,0.027272469929673127,4.333333333333333,0.4417954686527837
B4_sparse_pullback,2021,365,0.1636545597314234,0.1636545597314234,0.6025409295832675,0.43138045846815604,-0.29672157760418105,0.5515424966826457,15,0.4,1.4710127144598526,0.1735159817351598,30.0,0.01636903253456806,5.5,4.678960120362888
B4_sparse_pullback,2022,365,-0.1008149516452852,-0.1008149516452852,-1.313650842591066,-0.2773931657091867,-0.1008149516452852,-1.0,6,0.0,0.0,0.014611872146118721,12.0,-0.01723447631559133,1.0833333333333333,-31241459.418813843
B4_sparse_pullback,2023,365,0.2790014783130881,0.2790014783130881,1.9027531049599975,1.4362874417252611,-0.03857876956809414,7.231995251186837,12,0.8333333333333334,8.717635039554741,0.1223744292237443,24.0,0.021157651619459022,4.416666666666667,0.8481950070963955
B4_sparse_pullback,2024-2026-02,782,0.24937674053909897,0.10951157562059,0.8027544179522522,0.3114036229938008,-0.20006728459840528,0.5473737289952847,13,0.38461538461538464,2.2282418451101305,0.05691750159880622,26.0,0.020868787131437718,3.1666666666666665,1.9736178012379257
B4_sparse_pullback,2024,366,0.2298529396422253,0.22915791770702842,1.1025627950514783,0.5932576975855086,-0.20006728459840528,1.1454042482108793,11,0.2727272727272727,2.1565218107958084,0.10974499089253188,22.0,0.02322297285194091,5.5,2.039942581662341
B4_sparse_pullback,2025,365,0.01587490688321891,0.01587490688321891,0.8118913828339083,0.276335831990381,-0.009823601811912996,1.6159965751021736,2,1.0,,0.011872146118721462,4.0,0.007920765668670171,2.3333333333333335,0.9978975910772699
B4_sparse_pullback,2026-YTD,51,0.0,0.0,,,0.0,,0,,,0.0,0.0,,,
D_breakout,2019-2020,731,-0.005418226794999814,-0.002709086980678399,0.09729047048639979,0.05200890615341172,-0.3460025345033847,-0.007829673804461389,60,0.48333333333333334,1.0465542214832624,0.0821730198584798,120.0,0.0007169669584230801,1.1666666666666667,385534436.537148
D_breakout,2021,365,0.16706645193669578,0.16706645193669578,0.742563795208426,0.48201745051306155,-0.26090070963972045,0.6403449502586596,34,0.47058823529411764,1.3890130980391606,0.09315068493150686,68.0,0.005662611037648071,1.1666666666666667,2.642130087276729
D_breakout,2022,365,-0.0053219499518716296,-0.0053219499518716296,-0.046981857460326015,-0.013775829436939576,-0.050188683601653294,-0.10603884322035328,7,0.42857142857142855,0.9652957181108401,0.019178082191780823,14.0,-0.00040948883611615006,1.1666666666666667,55059044.16439466
