type,p,det,fp,lag,slip,freq
A,f5_s50,0.2143,0.9688,31.5,-0.82,37.48
A,f5_s80,0.1786,0.972,39.2,-2.7,29.19
A,f5_s120,0.1071,0.9708,40.67,-3.76,19.97
A,f5_s160,0.0714,0.973,21.0,-3.36,17.28
A,f5_s200,0.0714,0.9758,39.5,-4.68,14.48
A,f10_s50,0.2143,0.9662,36.5,1.16,27.67
A,f10_s80,0.1429,0.9711,45.25,-1.01,20.2
A,f10_s120,0.1071,0.9688,45.33,-1.95,14.95
A,f10_s160,0.0714,0.9727,28.5,-3.57,12.84
A,f10_s200,0.0714,0.9674,39.0,-6.36,10.74
A,f20_s50,0.2143,0.9591,37.17,1.46,19.97
A,f20_s80,0.1071,0.9669,48.67,1.26,14.13
A,f20_s120,0.1071,0.9623,45.0,-2.34,12.38
A,f20_s160,0.0357,0.9884,94.0,-1.65,10.04
A,f20_s200,0.0357,0.9863,92.0,-2.16,8.52
A,f30_s50,0.1429,0.9648,48.0,1.57,16.58
A,f30_s80,0.1071,0.9592,48.67,1.26,11.44
A,f30_s120,0.0357,0.9886,96.0,-1.56,10.28
A,f30_s160,0.0357,0.9848,96.0,-1.56,7.71
A,f30_s200,0.0357,0.9825,94.0,-1.65,6.66
B,N20,0.8929,0.9118,14.64,5.04,83.37
B,N40,0.8571,0.8922,18.38,5.37,58.5
B,N60,0.8214,0.8826,19.17,5.52,49.74
B,N80,0.8214,0.8696,20.39,5.63,42.97
B,N120,0.8214,0.8476,20.43,5.83,36.78
B,N160,0.8214,0.8327,22.26,5.91,32.81
C,N10_t5,0.75,0.9295,19.1,4.03,54.65
C,N10_t10,0.5357,0.8452,17.93,6.29,18.1
C,N10_t15,0.2143,0.8696,9.83,11.02,5.37
C,N10_t20,0.1071,0.85,6.0,11.02,2.34
C,N20_t5,0.5714,0.9294,10.38,2.96,59.55
C,N20_t10,0.6071,0.8802,19.0,7.04,25.34
C,N20_t15,0.4286,0.8704,14.42,7.61,12.61
C,N20_t20,0.2143,0.78,10.5,7.43,5.84
C,N40_t5,0.3214,0.9501,17.67,2.75,53.83
C,N40_t10,0.3214,0.9402,36.67,3.69,29.31
C,N40_t15,0.5357,0.8623,13.8,3.78,19.5
C,N40_t20,0.4643,0.789,6.54,4.89,12.73
C,N60_t5,0.2143,0.9604,12.33,2.25,47.17
C,N60_t10,0.3571,0.9336,34.2,4.24,29.89
C,N60_t15,0.3214,0.9333,8.89,2.77,19.27
C,N60_t20,0.5,0.8031,5.5,3.27,14.83
D,lb20_w1.5,0.7143,0.9367,17.5,5.61,70.06
D,lb20_w2.0,0.6786,0.9234,19.16,6.55,51.84
D,lb20_w2.5,0.6071,0.8949,19.35,6.46,36.67
D,lb20_w3.0,0.6071,0.8738,29.94,7.2,24.05
D,lb40_w1.5,0.5,0.9469,13.71,2.18,59.32
D,lb40_w2.0,0.5714,0.9283,20.19,4.6,53.71
D,lb40_w2.5,0.6786,0.9194,21.47,5.06,43.44
D,lb40_w3.0,0.6071,0.9195,20.0,6.87,34.8
D,lb60_w1.5,0.3214,0.9512,15.67,1.94,50.21
D,lb60_w2.0,0.4286,0.9311,22.0,0.95,45.77
D,lb60_w2.5,0.5357,0.9195,20.67,1.87,44.96
D,lb60_w3.0,0.5357,0.9176,22.67,4.68,39.7
