k_bars,k_hours,VR,z_star,p_value
2,8,0.955823,-0.0227,0.98185
5,20,0.973653,-0.006,0.995234
10,40,0.947977,-0.0077,0.993828
20,80,0.949924,-0.0054,0.995676
40,160,0.9801,-0.0016,0.998721
60,240,0.997864,-0.0001,0.999884
