type,det,fp,lag,slip,freq
A,0.1053,0.9725,53.298,-1.621,16.1255
B,0.8393,0.8728,19.2117,5.55,50.695
C,0.404,0.8829,15.1725,5.315,25.6456
D,0.5655,0.9219,20.1942,4.4975,46.2108
