fold,sharpe,cagr,mdd,strategy
1,0.91,34.53,41.26,Cand01
2,0.8482,34.91,41.26,Cand01
3,0.6327,23.98,43.9,Cand01
4,1.0363,47.9,41.38,Cand01
5,0.9862,45.07,41.38,Cand01
6,1.0076,46.95,41.38,Cand01
1,0.9063,34.05,42.42,Cand02
2,0.863,35.3,42.42,Cand02
3,0.6466,24.34,45.02,Cand02
4,1.061,49.1,38.65,Cand02
5,1.0071,45.86,42.42,Cand02
6,1.0089,46.76,42.42,Cand02
1,0.2904,9.42,54.23,Cand03
2,0.554,21.3,54.23,Cand03
3,0.1562,5.46,69.1,Cand03
4,0.6755,29.28,49.27,Cand03
5,0.5151,21.97,54.23,Cand03
6,0.4611,19.75,54.23,Cand03
1,1.2136,60.11,41.0,Benchmark
2,1.0401,54.01,52.59,Benchmark
3,0.7001,32.21,52.59,Benchmark
4,1.3468,81.9,52.59,Benchmark
5,1.0642,60.16,52.59,Benchmark
6,1.1205,65.11,52.59,Benchmark
