metric,value
overall_H,0.5805344788598017
rolling_mean,0.5859248299922328
rolling_std,0.03644351173719653
rolling_min,0.48184552987092605
rolling_Q25,0.5599047066264392
rolling_median,0.5871651735747028
rolling_Q75,0.6106080215365227
rolling_max,0.684955383375221
window_size,500.0
n_windows,366.0
