type_grp,cap,churn,hold,ret,mdd
V,2.638,0.8333,208.6167,29.4683,24.2333
W,1.9037,0.8571,97.1429,21.5071,17.9114
X,0.974,0.9405,67.9,10.625,12.1733
Y,0.8954,0.9087,58.9278,9.9844,14.7772
Z,1.4274,0.9263,101.3903,15.7358,18.7074
