feature,category,horizon_k,spearman_rho,spearman_p,binned_MI,MI_chi2_p,n_obs
roc_10,price,1,-0.01348,0.065127,0.033629,0.0,18712
roc_10,price,5,-0.00458,0.531191,0.023553,0.0,18712
roc_10,price,10,0.01347,0.065415,0.015786,0.0,18712
roc_10,price,20,0.01471,0.044234,0.019694,0.0,18712
roc_10,price,40,0.01885,0.00998,0.014937,0.0,18692
roc_10,price,60,0.01657,0.023599,0.012453,0.0,18672
roc_20,price,1,0.00081,0.912186,0.035806,0.0,18712
roc_20,price,5,0.00106,0.884367,0.024598,0.0,18712
roc_20,price,10,0.01043,0.153765,0.022806,0.0,18712
roc_20,price,20,0.01079,0.13981,0.0247,0.0,18712
roc_20,price,40,0.0058,0.427613,0.017585,0.0,18692
roc_20,price,60,0.01224,0.094528,0.016782,0.0,18672
roc_40,price,1,0.00638,0.382864,0.036207,0.0,18692
roc_40,price,5,0.00946,0.196025,0.028477,0.0,18692
roc_40,price,10,0.02441,0.000845,0.022323,0.0,18692
roc_40,price,20,0.01945,0.007818,0.02196,0.0,18692
roc_40,price,40,0.02021,0.005738,0.020302,0.0,18672
roc_40,price,60,0.03973,0.0,0.021764,0.0,18652
roc_60,price,1,0.01055,0.149461,0.034759,0.0,18672
roc_60,price,5,0.01289,0.078256,0.026438,0.0,18672
roc_60,price,10,0.02298,0.001688,0.021755,0.0,18672
roc_60,price,20,0.03522,1e-06,0.023746,0.0,18672
roc_60,price,40,0.04435,0.0,0.021282,0.0,18652
roc_60,price,60,0.06338,0.0,0.024641,0.0,18632
roc_120,price,1,0.01647,0.024647,0.02932,0.0,18612
roc_120,price,5,0.02571,0.000451,0.027293,0.0,18612
roc_120,price,10,0.03814,0.0,0.026534,0.0,18612
roc_120,price,20,0.04763,0.0,0.022258,0.0,18612
roc_120,price,40,0.05667,0.0,0.019403,0.0,18592
roc_120,price,60,0.07062,0.0,0.022818,0.0,18572
breakout_20,price,1,-0.00244,0.738769,0.0,1.0,18712
breakout_20,price,5,0.02642,0.000301,0.0,1.0,18712
breakout_20,price,10,0.0179,0.014359,0.0,1.0,18712
breakout_20,price,20,0.02412,0.000969,0.0,1.0,18712
breakout_20,price,40,0.02499,0.000633,0.0,1.0,18692
breakout_20,price,60,0.01895,0.009594,0.0,1.0,18672
breakout_40,price,1,0.00337,0.645017,0.0,1.0,18712
breakout_40,price,5,0.0335,5e-06,0.0,1.0,18712
breakout_40,price,10,0.03006,3.9e-05,0.0,1.0,18712
breakout_40,price,20,0.03377,4e-06,0.0,1.0,18712
breakout_40,price,40,0.03326,5e-06,0.0,1.0,18692
breakout_40,price,60,0.02827,0.000112,0.0,1.0,18672
breakout_60,price,1,0.0044,0.547103,0.0,1.0,18712
breakout_60,price,5,0.03456,2e-06,0.0,1.0,18712
breakout_60,price,10,0.02845,0.0001,0.0,1.0,18712
breakout_60,price,20,0.03056,2.9e-05,0.0,1.0,18712
breakout_60,price,40,0.03021,3.6e-05,0.0,1.0,18692
breakout_60,price,60,0.02942,5.8e-05,0.0,1.0,18672
breakout_120,price,1,0.00806,0.270363,0.0,1.0,18712
breakout_120,price,5,0.03575,1e-06,0.0,1.0,18712
breakout_120,price,10,0.02501,0.000623,0.0,1.0,18712
breakout_120,price,20,0.03462,2e-06,0.0,1.0,18712
breakout_120,price,40,0.0386,0.0,0.0,1.0,18692
breakout_120,price,60,0.04241,0.0,0.0,1.0,18672
ema_spread_50,price,1,0.01089,0.136391,0.037573,0.0,18712
ema_spread_50,price,5,0.00926,0.205098,0.028269,0.0,18712
ema_spread_50,price,10,0.02266,0.00194,0.024472,0.0,18712
ema_spread_50,price,20,0.0326,8e-06,0.024307,0.0,18712
ema_spread_50,price,40,0.03268,8e-06,0.023243,0.0,18692
ema_spread_50,price,60,0.04733,0.0,0.023879,0.0,18672
ema_spread_80,price,1,0.01458,0.046065,0.036924,0.0,18712
ema_spread_80,price,5,0.01691,0.020723,0.028436,0.0,18712
ema_spread_80,price,10,0.03141,1.7e-05,0.024742,0.0,18712
ema_spread_80,price,20,0.04113,0.0,0.024336,0.0,18712
ema_spread_80,price,40,0.0472,0.0,0.023054,0.0,18692
ema_spread_80,price,60,0.05846,0.0,0.02521,0.0,18672
ema_spread_120,price,1,0.01696,0.02037,0.034472,0.0,18712
ema_spread_120,price,5,0.02243,0.002151,0.030603,0.0,18712
ema_spread_120,price,10,0.03772,0.0,0.027778,0.0,18712
ema_spread_120,price,20,0.0479,0.0,0.026487,0.0,18712
ema_spread_120,price,40,0.06062,0.0,0.02165,0.0,18692
ema_spread_120,price,60,0.07092,0.0,0.026366,0.0,18672
log_vol,volume,1,0.00443,0.544425,0.02105,0.0,18712
log_vol,volume,5,0.00919,0.208623,0.011007,0.0,18712
log_vol,volume,10,0.01001,0.171079,0.009584,0.0,18712
log_vol,volume,20,0.01095,0.13406,0.008538,0.0,18712
log_vol,volume,40,0.01782,0.014834,0.008869,0.0,18692
log_vol,volume,60,0.0147,0.044525,0.009275,0.0,18672
tbr,volume,1,-0.02529,0.000541,0.004709,0.0,18712
tbr,volume,5,0.01147,0.116556,0.002586,0.123689,18712
tbr,volume,10,0.01158,0.113183,0.002675,0.069841,18712
tbr,volume,20,0.01966,0.00717,0.003111,0.006386,18712
tbr,volume,40,0.00814,0.265518,0.002945,0.015083,18692
tbr,volume,60,-0.00307,0.674979,0.004561,0.0,18672
vol20,volatility,1,0.01288,0.078209,0.064688,0.0,18712
vol20,volatility,5,0.01912,0.008903,0.046767,0.0,18712
vol20,volatility,10,0.01618,0.0269,0.041151,0.0,18712
vol20,volatility,20,0.02388,0.001089,0.040066,0.0,18712
vol20,volatility,40,0.03033,3.4e-05,0.027248,0.0,18692
vol20,volatility,60,0.01766,0.015824,0.030501,0.0,18672
vol60,volatility,1,0.0118,0.106916,0.068583,0.0,18672
vol60,volatility,5,0.01888,0.009885,0.05737,0.0,18672
vol60,volatility,10,0.01996,0.006387,0.052876,0.0,18672
vol60,volatility,20,0.03067,2.8e-05,0.052548,0.0,18672
vol60,volatility,40,0.02493,0.000662,0.040697,0.0,18652
vol60,volatility,60,0.01733,0.017972,0.036898,0.0,18632
atr_pctl,volatility,1,0.01804,0.014214,0.01615,0.0,18463
atr_pctl,volatility,5,0.02603,0.000404,0.007237,0.0,18463
atr_pctl,volatility,10,0.02124,0.003902,0.006089,0.0,18463
atr_pctl,volatility,20,0.03304,7e-06,0.007577,0.0,18463
atr_pctl,volatility,40,0.05691,0.0,0.010503,0.0,18443
atr_pctl,volatility,60,0.05327,0.0,0.009843,0.0,18423
vol_regime_high,volatility,1,0.01179,0.106927,0.0,1.0,18712
vol_regime_high,volatility,5,0.0238,0.001132,0.0,1.0,18712
vol_regime_high,volatility,10,0.02589,0.000397,0.0,1.0,18712
vol_regime_high,volatility,20,0.02726,0.000192,0.0,1.0,18712
vol_regime_high,volatility,40,0.04165,0.0,0.0,1.0,18692
vol_regime_high,volatility,60,0.04352,0.0,0.0,1.0,18672
d1_above_sma200,d1_regime,1,0.00678,0.353845,0.0,1.0,18712
