,count,mean,std,min,25%,50%,75%,max
open,3128.0,36849.13039961637,32391.641093912414,3188.01,9221.89,26768.885000000002,57975.6825,124658.54
high,3128.0,37631.31217391304,32912.647463913396,3276.5,9395.0,27171.6,59405.5975,126199.63
low,3128.0,35999.58990409207,31826.289018125,2817.0,9018.1725,26377.525,56581.2825,123084.0
close,3128.0,36870.17639705883,32391.795746919917,3189.02,9226.380000000001,26785.144999999997,58000.865000000005,124658.54
volume,3128.0,61630.84575089065,76264.51807359833,228.108068,23697.6682825,39047.233796500004,64919.1752475,760705.362783
quote_volume,3128.0,1765485574.8707142,1919370599.2376494,977865.7333321,386628283.26425314,1221219510.4539266,2450692310.593572,17465307097.88407
num_trades,3128.0,1947160.8778772377,2254561.1065798234,2153.0,418916.5,1155096.0,2458715.5,15364010.0
taker_buy_base_vol,3128.0,30602.354933922954,37966.09045347733,56.190141,11892.0852115,19454.616673,32092.564052499998,374775.574085
taker_buy_quote_vol,3128.0,871354208.1940536,953329510.9028288,241363.80050245,192683809.31446233,586992781.8437586,1207093550.3779068,8783916247.676138
