entry,exit,regime,sharpe,cagr,mdd,n,exp
A,X,all,0.4368,24.22,79.75,58,76.49
A,X,bull,0.0687,2.42,74.09,31,37.74
A,Y,all,0.628,34.89,64.98,115,58.64
A,Y,bull,0.4102,13.38,52.16,56,26.36
A,Z,all,0.629,41.82,70.63,71,72.18
A,Z,bull,0.3909,15.33,58.61,37,35.03
A,W,all,0.0151,0.86,86.5,68,73.31
A,W,bull,0.2165,8.58,73.17,33,35.58
A,V,all,0.5261,41.9,83.77,8,87.51
A,V,bull,0.4548,27.07,74.73,6,61.63
B,X,all,0.8397,39.0,58.04,33,49.34
B,X,bull,0.8051,29.13,47.88,19,35.94
B,Y,all,1.064,47.46,44.59,50,30.09
B,Y,bull,0.8725,26.88,44.69,32,21.0
B,Z,all,0.8861,51.82,64.1,35,44.49
B,Z,bull,0.768,30.5,52.99,23,31.48
B,W,all,0.7401,40.36,65.32,47,50.67
B,W,bull,0.9745,40.09,37.99,31,33.42
B,V,all,0.5835,45.67,79.19,8,80.51
B,V,bull,0.5477,32.83,74.41,6,60.63
C,X,all,0.6004,40.7,76.33,69,84.02
C,X,bull,0.3461,14.71,64.38,34,46.18
C,Y,all,0.833,57.93,70.76,105,62.04
C,Y,bull,0.5713,23.37,51.59,55,33.14
C,Z,all,0.7262,54.13,80.34,69,74.83
C,Z,bull,0.5469,24.86,55.03,36,41.61
C,W,all,0.3942,28.26,81.48,72,77.62
C,W,bull,0.5743,28.21,60.09,40,43.12
C,V,all,0.6274,51.35,79.31,8,86.21
C,V,bull,0.4716,30.41,73.62,7,72.71
D,X,all,0.4414,26.98,81.76,67,82.95
D,X,bull,0.5412,23.34,61.08,31,47.12
D,Y,all,0.6197,38.63,74.32,131,67.89
D,Y,bull,0.6226,24.5,55.53,68,36.67
D,Z,all,0.627,44.34,75.86,81,79.42
D,Z,bull,0.6009,26.99,50.5,43,44.42
D,W,all,0.5108,37.05,77.7,79,85.17
D,W,bull,0.4704,23.35,74.83,45,48.51
D,V,all,0.5599,45.15,83.73,8,87.88
D,V,bull,0.4865,31.51,73.62,7,72.66
