year,sharpe,cagr,mdd,strategy
2017,2.9213,1860.25,27.3,Cand01
2018,-0.9241,-19.08,23.46,Cand01
2019,1.5136,81.16,27.66,Cand01
2020,2.6783,180.57,20.25,Cand01
2021,0.7106,37.16,30.54,Cand01
2022,-1.7947,-30.09,31.82,Cand01
2023,1.8913,70.95,15.17,Cand01
2024,0.1597,4.92,35.3,Cand01
2025,0.2732,5.09,11.08,Cand01
2026,-2.5147,-35.55,11.0,Cand01
2017,2.9213,1860.25,27.3,Cand02
2018,-0.7366,-15.3,19.89,Cand02
2019,1.5136,81.16,27.66,Cand02
2020,2.6783,180.57,20.25,Cand02
2021,0.7106,37.16,30.54,Cand02
2022,-2.0884,-31.48,33.18,Cand02
2023,1.8357,68.13,16.57,Cand02
2024,0.1009,3.07,36.45,Cand02
2025,0.1735,3.14,11.08,Cand02
2026,-1.4187,-16.88,6.59,Cand02
2017,3.3286,2866.72,27.3,Cand03
2018,-0.6211,-19.95,33.37,Cand03
2019,0.0846,3.45,41.29,Cand03
2020,1.3192,69.41,19.74,Cand03
2021,0.9798,55.84,35.9,Cand03
2022,-3.3609,-46.22,46.34,Cand03
2023,0.6673,18.31,17.7,Cand03
2024,0.6393,15.17,28.21,Cand03
2025,-0.8008,-5.82,6.79,Cand03
2026,0.0,0.0,0.0,Cand03
2017,2.6465,1680.5,33.81,Benchmark
2018,-0.8996,-26.03,37.34,Benchmark
2019,1.5694,101.52,38.69,Benchmark
2020,2.673,241.59,25.15,Benchmark
2021,1.5385,130.8,24.06,Benchmark
2022,-1.1816,-25.64,33.96,Benchmark
2023,1.0736,43.12,32.29,Benchmark
2024,1.6575,82.77,25.75,Benchmark
2025,0.0542,1.22,14.67,Benchmark
2026,-2.1328,-32.26,13.69,Benchmark
