,count,mean,std,min,25%,50%,75%,max
open,18752.0,36880.476711817406,32392.049855117697,2870.9,9208.8875,26815.515,57956.26,125410.8
high,18752.0,37188.16697685579,32593.57275972583,3148.0,9276.9925,26921.010000000002,58471.2575,126199.63
low,18752.0,36551.430911369454,32177.56704785811,2817.0,9130.9,26632.39,57355.895,124800.0
close,18752.0,36884.01000533276,32392.031372502293,2919.0,9209.7475,26817.09,57963.985,125410.81
volume,18752.0,10280.971017565911,14204.654081955647,5.887034,3369.575605,5969.370965,10967.56182275,284711.694213
quote_volume,18752.0,294526524.4349596,367086085.7015344,27090.32379014,59691682.8743205,171938992.4525911,395390638.24443597,5457623882.23572
num_trades,18752.0,324856.4121693686,417407.06332082534,43.0,67720.0,174303.0,392922.75,6089593.0
taker_buy_base_vol,18752.0,5104.968137747493,7072.911667064414,4.229245,1663.0618395,2985.4708265,5443.451254250001,141232.701595
taker_buy_quote_vol,18752.0,145365240.98450184,182403051.60473844,22758.80310914,29493388.956727378,83616582.1916852,194438501.53571025,2747536976.0882463
