d1_regime,n,mean,std,skew,kurtosis,annualized_ret
above,9560,0.00052436,0.01285375,-0.0996,10.8976,114.84
below,9185,-0.00024173,0.01664892,-0.2144,22.0058,-52.94
low_vol,9435,8.443e-05,0.00944334,-0.1566,7.8241,18.49
high_vol,9310,0.0002144,0.01878918,-0.1871,14.6491,46.95
