type,p,cap,churn,hold,ret,mdd,type_grp
X,trail3,0.5242,0.9286,14.0,5.16,4.76,X
X,trail5,0.5358,0.8929,22.2,5.53,7.78,X
X,trail8,0.6968,0.9643,52.8,7.68,9.99,X
X,trail12,1.3874,1.0,91.8,15.15,13.22,X
X,trail15,1.4063,0.8571,108.5,15.56,16.22,X
X,trail20,1.2937,1.0,118.1,14.67,21.07,X
Y,atr14_m2.0,0.6311,0.8571,25.9,6.48,9.16,Y
Y,atr14_m2.5,0.5776,0.8571,34.9,6.18,12.31,Y
Y,atr14_m3.0,1.1636,0.9286,55.2,13.36,15.21,Y
Y,atr14_m3.5,1.4432,0.9643,83.6,16.7,18.12,Y
Y,atr14_m4.0,1.3389,0.9286,84.3,15.47,19.11,Y
Y,atr14_m5.0,0.9726,1.0,119.4,10.97,24.47,Y
Y,atr20_m2.0,0.5397,0.7857,24.0,5.54,8.36,Y
Y,atr20_m2.5,0.6217,0.9643,32.7,6.66,10.52,Y
Y,atr20_m3.0,0.7673,0.8214,45.1,8.28,13.25,Y
Y,atr20_m3.5,0.6021,1.0,54.5,6.51,16.1,Y
Y,atr20_m4.0,1.4115,1.0,83.9,16.35,18.42,Y
Y,atr20_m5.0,1.4105,1.0,116.4,16.21,20.88,Y
Y,atr30_m2.0,0.5832,0.8214,23.8,6.2,8.27,Y
Y,atr30_m2.5,0.6506,0.9286,30.4,7.0,9.99,Y
Y,atr30_m3.0,0.5703,0.8214,34.6,6.05,11.02,Y
Y,atr30_m3.5,0.7913,0.8214,51.0,8.8,14.18,Y
Y,atr30_m4.0,0.5728,1.0,55.2,6.17,16.42,Y
Y,atr30_m5.0,1.4687,0.8571,105.8,16.79,20.2,Y
ZA,ema_f10_s50,1.6539,1.0,68.8,18.64,16.26,Z
ZA,ema_f10_s80,1.5062,0.8214,97.5,16.66,18.26,Z
ZA,ema_f10_s120,0.8568,1.0,115.8,9.01,22.52,Z
ZA,ema_f20_s50,1.2631,0.9286,78.5,14.08,17.56,Z
ZA,ema_f20_s80,0.8765,1.0,115.4,9.22,22.38,Z
ZA,ema_f20_s120,0.9534,0.9286,120.2,10.17,23.59,Z
ZA,ema_f30_s50,1.1985,0.7143,103.7,13.15,20.2,Z
ZA,ema_f30_s80,1.0021,1.0,118.0,10.69,23.31,Z
ZA,ema_f30_s120,3.0971,0.8571,164.4,33.99,25.55,Z
ZB,low20,0.933,1.0,72.2,10.25,18.58,Z
ZB,low40,1.2567,1.0,117.0,13.76,20.16,Z
ZB,low60,1.0657,1.0,122.0,11.53,21.67,Z
ZB,low80,3.6059,0.8571,258.0,40.24,31.4,Z
ZC,roc10_t-5,0.4444,0.9643,36.0,4.23,9.06,Z
ZC,roc10_t-10,1.3283,1.0,97.8,14.61,13.03,Z
ZC,roc10_t-15,3.313,1.0,144.4,36.81,18.1,Z
ZC,roc20_t-5,0.8819,0.6786,47.8,9.79,12.12,Z
ZC,roc20_t-10,2.1767,0.9286,104.4,24.74,15.88,Z
ZC,roc20_t-15,2.0669,1.0,125.9,23.19,18.92,Z
ZC,roc40_t-5,1.2067,0.9643,86.2,13.32,18.22,Z
ZC,roc40_t-10,1.8834,0.8214,130.6,21.0,20.12,Z
ZC,roc40_t-15,1.435,0.9643,144.4,15.81,22.08,Z
ZD,ch20_w1.5,0.456,0.8571,37.7,4.84,12.22,Z
ZD,ch20_w2.0,0.9101,0.8214,50.5,10.09,14.28,Z
ZD,ch20_w2.5,1.1847,0.8214,85.9,13.02,18.64,Z
ZD,ch40_w1.5,1.7009,0.9286,66.7,19.25,14.42,Z
ZD,ch40_w2.0,1.0873,0.9286,74.8,12.06,17.32,Z
ZD,ch40_w2.5,1.1968,1.0,85.8,13.06,18.61,Z
ZD,ch60_w1.5,1.0453,0.9286,73.9,11.53,17.72,Z
ZD,ch60_w2.0,1.2987,1.0,91.9,14.17,18.71,Z
ZD,ch60_w2.5,1.3646,1.0,106.9,14.9,19.04,Z
W,hold20,0.8153,0.8571,20.0,8.96,7.82,W
W,hold40,1.2697,0.8214,40.0,14.44,11.65,W
W,hold60,1.6167,0.8571,60.0,18.04,15.57,W
W,hold80,1.9895,0.8929,80.0,22.64,17.91,W
W,hold120,2.3162,0.7857,120.0,26.0,21.78,W
W,hold160,2.4915,0.8571,160.0,27.91,24.14,W
W,hold200,2.8267,0.9286,200.0,32.56,26.51,W
V,spike_1.5,0.7797,0.7143,33.4,8.38,7.23,V
V,spike_2.0,2.1621,0.8929,159.1,24.59,19.32,V
V,spike_2.5,2.6939,0.8929,231.9,30.01,26.65,V
V,spike_3.0,4.0355,0.8214,294.5,45.27,31.94,V
V,compress_0.3,4.0792,0.8214,299.0,45.72,31.94,V
V,compress_0.5,2.0778,0.8571,233.8,22.84,28.32,V
