threshold_pct,n_trends,dur_mean,dur_median,dur_Q25,dur_Q75,mag_mean,mag_median,speed_mean
10,27,27.6,14.0,9.0,24.0,11.6,11.2,1.7908
20,13,35.8,24.0,18.0,59.0,21.6,20.8,1.3052
30,7,56.3,53.0,36.5,62.0,32.8,32.4,0.8521
50,5,167.6,103.0,90.0,114.0,52.2,50.7,0.618
