fold,oos_sharpe,oos_cagr,oos_mdd,oos_trades,delta_sharpe_vs_vdo,selected_weak_vdo_median
1,1.1196934805892897,0.3404909079493408,-0.2289902947255631,25,0.5130140209921568,0.00648105072393846
2,1.6040926839062521,0.5741559544810797,-0.2733669220869336,41,0.0665870863899376,0.005799748872026572
3,1.8753474413200957,0.6725487817062583,-0.13669452357361356,27,0.0567741080623867,0.005663060405662071
4,0.3222358854220594,0.039629685918125324,-0.12775209903264362,11,0.344393190726394,0.006063720771229266
