policy,family,template,support_signal,weak_q,neg_q,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_vdo,delta_sharpe_vs_core,positive_folds_vs_vdo,positive_folds_vs_core,avg_oos_trades,avg_boundary_threshold,pass_vs_vdo
weakvdo_q0.25_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.25,,1.1267641495815346,0.3474098725565862,-0.3770190060063474,-0.00399565039067129,0.38454321708291883,1,4,29.25,0.002621650062454635,False
weakvdo_q0.25_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.25,,1.1267641495815346,0.3474098725565862,-0.3770190060063474,-0.00399565039067129,0.38454321708291883,1,4,29.25,0.002621650062454635,False
weakvdo_q0.25_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.25,,1.1267641495815346,0.3474098725565862,-0.3770190060063474,-0.00399565039067129,0.38454321708291883,1,4,29.25,0.002621650062454635,False
weakvdo_q0.3333333333333333_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.3333333333333333,,1.1267641495815346,0.3474098725565862,-0.3770190060063474,-0.00399565039067129,0.38454321708291883,1,4,29.25,0.0036387071090945616,False
weakvdo_q0.3333333333333333_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.3333333333333333,,1.1267641495815346,0.3474098725565862,-0.3770190060063474,-0.00399565039067129,0.38454321708291883,1,4,29.25,0.0036387071090945616,False
weakvdo_q0.3333333333333333_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.3333333333333333,,1.1267641495815346,0.3474098725565862,-0.3770190060063474,-0.00399565039067129,0.38454321708291883,1,4,29.25,0.0036387071090945616,False
weakvdo_q0.3333333333333333_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.3333333333333333,,1.1264812140870073,0.3467125678989733,-0.3824624581863374,-0.0042785858851985825,0.38426028158839154,1,3,28.75,0.0036387071090945616,False
weakvdo_q0.3333333333333333_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.3333333333333333,,1.1264812140870073,0.3467125678989733,-0.3824624581863374,-0.0042785858851985825,0.38426028158839154,1,3,28.75,0.0036387071090945616,False
and_low_activity_and_no_altmom,unbounded_control,and_support,low_activity_and_no_altmom,,,1.1239897703720336,0.34415426964634843,-0.3824624581863374,-0.006770029600172256,0.38176883787341787,2,3,28.5,,False
and_activity_or_altmom,unbounded_control,and_support,activity_or_altmom,,,1.1239897703720336,0.34415426964634843,-0.3824624581863374,-0.006770029600172256,0.38176883787341787,2,3,28.5,,False
and_vol_surprise_quote_28,unbounded_control,and_support,vol_surprise_quote_28,,,1.1231626881377585,0.3363629218371724,-0.4064193179179575,-0.007597111834447334,0.3809417556391428,3,4,26.75,,False
weakvdo_q0.5_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.5,,1.122622129944682,0.3033880001918503,-0.2872941174017343,-0.008137670027523969,0.38040119744606615,2,3,22.5,0.0060018951932140924,False
weakvdo_q0.3333333333333333_activity_and_altmom,bounded_veto,weak_vdo_require_support,activity_and_altmom,0.3333333333333333,,1.1207785494610576,0.336705342464118,-0.33526537956171043,-0.009981250511148287,0.37855761696244183,2,4,27.5,0.0036387071090945616,False
weakvdo_q0.25_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.25,,1.1174085405623588,0.34311316647364953,-0.3824624581863374,-0.01335125940984705,0.37518760806374307,1,3,28.75,0.002621650062454635,False
weakvdo_q0.25_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.25,,1.1174085405623588,0.34311316647364953,-0.3824624581863374,-0.01335125940984705,0.37518760806374307,1,3,28.75,0.002621650062454635,False
weakvdo_q0.25_activity_and_fresh_imb,bounded_veto,weak_vdo_require_support,activity_and_fresh_imb,0.25,,1.1094949083772578,0.335760541779881,-0.3851010021873249,-0.021264891594948043,0.3672739758786421,2,3,28.0,0.002621650062454635,False
weakvdo_q0.25_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.25,,1.1049288701075117,0.3363008457868013,-0.371612559156823,-0.025830929864694152,0.36270793760889597,1,3,28.75,0.002621650062454635,False
weakvdo_q0.25_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.25,,1.1033356904806313,0.3375110304689348,-0.368953472588889,-0.02742410949157459,0.36111475798201553,1,3,29.25,0.002621650062454635,False
and_osc_12_28_net_quote_norm_28,unbounded_control,and_support,osc_12_28_net_quote_norm_28,,,1.097695240149379,0.3260330505676827,-0.3392405487062782,-0.03306455982282697,0.35547430765076315,2,4,27.0,,False
weakvdo_q0.3333333333333333_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.3333333333333333,,1.0976648143490613,0.335169297440046,-0.368953472588889,-0.03309498562314461,0.3554438818504455,1,3,29.25,0.0036387071090945616,False
weakvdo_q0.5_fresh_imb_or_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_or_altmom,0.5,,1.0976648143490613,0.335169297440046,-0.368953472588889,-0.03309498562314461,0.3554438818504455,1,3,29.25,0.0060018951932140924,False
weakneg_q0.25_activity_or_altmom,bounded_rescue,weak_negative_rescue,activity_or_altmom,,0.25,1.0895895265970041,0.3411864509974456,-0.3630245026282154,-0.04117027337520174,0.3473685940983884,1,4,31.0,-0.0028336425000491153,False
and_late_net_and_low_activity,unbounded_control,and_support,late_net_and_low_activity,,,1.0895580679695331,0.32834828686456796,-0.3346305715240614,-0.04120173200267274,0.3473371354709174,1,3,29.0,,False
weakvdo_q0.25_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.25,,1.0893352437814663,0.3324174304828367,-0.37801870508529734,-0.04142455619073959,0.34711431128285053,0,3,29.5,0.002621650062454635,False
weakvdo_q0.3333333333333333_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.3333333333333333,,1.0893352437814663,0.3324174304828367,-0.37801870508529734,-0.04142455619073959,0.34711431128285053,0,3,29.5,0.0036387071090945616,False
weakvdo_q0.5_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.5,,1.0893352437814663,0.3324174304828367,-0.37801870508529734,-0.04142455619073959,0.34711431128285053,0,3,29.5,0.0060018951932140924,False
weakvdo_q0.25_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.25,,1.0886591525904346,0.3214436904965028,-0.3590200058673332,-0.04210064738177133,0.3464382200918188,1,3,26.5,0.002621650062454635,False
weakvdo_q0.5_osc_12_28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,osc_12_28_net_quote_norm_28,0.5,,1.0880827140206617,0.32439796897365314,-0.3392405487062782,-0.04267708595154418,0.34586178152204594,2,4,27.5,0.0060018951932140924,False
weakvdo_q0.25_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.25,,1.0861414243224492,0.3283287853054322,-0.3727020450592413,-0.04461837564975668,0.34392049182383344,1,3,28.75,0.002621650062454635,False
weakvdo_q0.3333333333333333_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.3333333333333333,,1.0852218665759792,0.3280767075780302,-0.3844394535431648,-0.04553793339622669,0.34300093407736343,1,3,28.75,0.0036387071090945616,False
weakneg_q0.25_ema12_vol_surprise_quote_28,bounded_rescue,weak_negative_rescue,ema12_vol_surprise_quote_28,,0.25,1.0813186179611276,0.33752201022813777,-0.3692635348788257,-0.04944118201107828,0.33909768546251184,2,4,31.0,-0.0028336425000491153,False
weakneg_q0.25_activity_and_fresh_imb,bounded_rescue,weak_negative_rescue,activity_and_fresh_imb,,0.25,1.0803452551683717,0.3351650512904758,-0.37010987660801853,-0.05041454480383423,0.3381243226697559,2,4,31.0,-0.0028336425000491153,False
weakvdo_q0.3333333333333333_all_three,bounded_veto,weak_vdo_require_support,all_three,0.3333333333333333,,1.078454367678556,0.3170452130902137,-0.32567755921029307,-0.05230543229364981,0.3362334351799403,2,4,27.0,0.0036387071090945616,False
and_any_of_three,unbounded_control,and_support,any_of_three,,,1.0784233199541184,0.3271092184248534,-0.37801870508529734,-0.05233648001808744,0.3362023874555027,0,3,29.5,,False
