policy,family,template,support_signal,fold,oos_sharpe,oos_cagr,oos_mdd,oos_trades,delta_sharpe_vs_vdo,delta_sharpe_vs_core,train_sharpe,train_cagr,train_mdd,train_trades,weak_thr,weak_q,direction,threshold,neg_thr,neg_q
train_veto_ema28_imbalance_ratio_base,train_veto_1signal,weak_vdo_require_support,ema28_imbalance_ratio_base,1,0.606679459597133,0.1565414550920552,-0.3648484810818692,31,0.0,0.6413999670446181,1.9958086448556571,1.2342230398862122,-0.3886155944906676,74,0.004185087373277126,0.3333333333333333,ge,-0.04284801758655838,,
train_veto_ema28_imbalance_ratio_base,train_veto_1signal,weak_vdo_require_support,ema28_imbalance_ratio_base,2,1.6636669387015262,0.644921359108884,-0.2780306709410879,45,0.1261613411852116,0.11847945250579706,1.5754925325755076,0.7566546162423906,-0.3613878382071005,101,0.005799748872026572,0.5,le,0.002915363575166048,,
train_veto_ema28_imbalance_ratio_base,train_veto_1signal,weak_vdo_require_support,ema28_imbalance_ratio_base,3,1.7564096152274062,0.6202282507384296,-0.13236946834247332,28,-0.06216371803030274,0.5621349268797924,1.5938719650510034,0.7100003918088835,-0.3867013547354369,134,0.005663060405662071,0.5,le,-0.006051395272443055,,
train_veto_ema28_imbalance_ratio_base,train_veto_1signal,weak_vdo_require_support,ema28_imbalance_ratio_base,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,1.6351662926010975,0.708275778905495,-0.3867013547354369,160,0.006063720771229266,0.5,le,-0.007605434310736648,,
train_rescue_ema28_imbalance_ratio_base,train_rescue_1signal,weak_negative_rescue,ema28_imbalance_ratio_base,1,0.5237046016514253,0.1260094886820997,-0.3585580892741018,31,-0.08297485794570769,0.5584251090989104,2.0518411503742455,1.311199808995548,-0.3886155944906676,77,,,le,-0.010924445381783629,-0.003284155792246462,0.25
train_rescue_ema28_imbalance_ratio_base,train_rescue_1signal,weak_negative_rescue,ema28_imbalance_ratio_base,2,1.6011347356527241,0.6208123730739219,-0.30918733110768204,47,0.06362913813640958,0.05594724945699503,1.6328151400132223,0.8144908376598994,-0.3886155944906676,108,,,le,-0.012400960324283441,-0.002797151177824599,0.25
train_rescue_ema28_imbalance_ratio_base,train_rescue_1signal,weak_negative_rescue,ema28_imbalance_ratio_base,3,1.7664089975270103,0.6455737375473265,-0.13428441074514852,29,-0.052164335730698674,0.5721343091793964,1.6395466368013667,0.786280103123842,-0.3886155944906676,157,,,le,-0.025894782288067218,-0.0061312594611683344,0.5
train_rescue_ema28_imbalance_ratio_base,train_rescue_1signal,weak_negative_rescue,ema28_imbalance_ratio_base,4,-0.12642924848340112,-0.03347408887401726,-0.13801666765973675,13,-0.10427194317906648,0.34230605012976234,1.6430026581554282,0.761531794014688,-0.3886155944906676,187,,,le,-0.028120145104728413,-0.006550473689606984,0.5
train_veto_ema12_vol_surprise_quote_28,train_veto_1signal,weak_vdo_require_support,ema12_vol_surprise_quote_28,1,0.5243480831329923,0.12556428082162308,-0.3719964251130441,31,-0.08233137646414068,0.5590685905804774,1.926119314779662,1.1586438170602626,-0.3620407614801979,73,0.004185087373277126,0.3333333333333333,ge,0.9581024144750676,,
train_veto_ema12_vol_surprise_quote_28,train_veto_1signal,weak_vdo_require_support,ema12_vol_surprise_quote_28,2,1.6315692759923592,0.6288052855681732,-0.3092697324836925,44,0.09406367847604469,0.08638178979663014,1.5562455453095412,0.7507591798872375,-0.39259418017832226,105,0.005799748872026572,0.5,ge,0.7794600555447256,,
