decision_outcome,n,base_win_rate,base_mean_ret,base_median_ret,cand_win_rate,cand_mean_ret,cand_median_ret,mean_delay_bars
delay_then_enter,29,0.4827586206896552,0.043272068547910596,-0.0018461867904795426,0.4482758620689655,0.039028803592337714,-0.004816583099422678,10.586206896551724
full_veto,10,0.0,-0.03803866494338155,-0.03972168189430747,,,,
