policy,family,template,support_signal,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_vdo,delta_sharpe_vs_core,positive_folds_vs_vdo,positive_folds_vs_core,avg_oos_trades,avg_train_sharpe_selected,avg_selected_threshold,avg_selected_weak_q,avg_selected_neg_q,pass_vs_vdo
train_veto_ema28_net_quote_norm_28,train_veto_1signal,weak_vdo_require_support,ema28_net_quote_norm_28,1.3736519743924167,0.4200961816895845,-0.2529510727220313,0.24289217442021083,0.631431041893801,2,4,25.0,1.7083008785640261,-0.004486187461166582,0.5,,False
train_veto_ema12_net_quote_norm_28,train_veto_1signal,weak_vdo_require_support,ema12_net_quote_norm_28,1.2034666234122833,0.3702233811752411,-0.3091873311076818,0.0727068234400774,0.4612456909136675,1,3,28.25,1.7132236392697424,0.008081719844013518,0.4375,,False
train_rescue_osc_12_28_net_quote_norm_28,train_rescue_1signal,weak_negative_rescue,osc_12_28_net_quote_norm_28,1.1668550441915848,0.36785232016734337,-0.34665265002685675,0.03609524421937893,0.42463411169296905,3,4,30.0,1.7694797951495502,-0.0022890871674832447,,0.5,True
train_veto_ema28_imbalance_ratio_base,train_veto_1signal,weak_vdo_require_support,ema28_imbalance_ratio_base,1.1594386516819726,0.3600408606926815,-0.36484848108187096,0.028678851709766695,0.4172177191833568,1,4,29.0,1.7000848587708166,-0.013397370898643008,0.4583333333333333,,False
train_rescue_ema12_vol_surprise_quote_28,train_rescue_1signal,weak_negative_rescue,ema12_vol_surprise_quote_28,1.1584747782170517,0.36399146146568606,-0.3377294330952587,0.02771497824484581,0.41625384571843593,2,4,29.75,1.7337755689198089,0.8888928184498612,,0.5,False
train_veto_regime_strength,train_veto_1signal,weak_vdo_require_support,regime_strength,1.1509248176839861,0.3538418760277322,-0.3765959733414146,0.020165017711780253,0.4087038851853704,2,4,28.0,1.6801521852038714,0.015925498666172766,0.4375,,False
train_veto_ema_gap_pct,train_veto_1signal,weak_vdo_require_support,ema_gap_pct,1.133312290136039,0.3449357135696245,-0.4085189625758542,0.0025524901638331876,0.3910913576374233,1,4,27.75,1.7069262770365596,0.016269309158799823,0.29166666666666663,,False
train_veto_ema12_vol_surprise_quote_28,train_veto_1signal,weak_vdo_require_support,ema12_vol_surprise_quote_28,1.132037012944938,0.3491587874722373,-0.37809289613138,0.0012772129727320891,0.3898160804463222,1,4,28.75,1.6633088814186974,0.8100145639583571,0.3958333333333333,,False
train_veto_osc_12_28_net_quote_norm_28,train_veto_1signal,weak_vdo_require_support,osc_12_28_net_quote_norm_28,1.1292029819881495,0.34865671555958766,-0.3651418196612909,-0.00155681798405638,0.38698204948953374,2,4,29.25,1.7227543964918817,0.004381061514983259,0.4583333333333333,,False
train_veto_atr_pct,train_veto_1signal,weak_vdo_require_support,atr_pct,1.126604389924496,0.34501370956763444,-0.38418263890371507,-0.004155410047709918,0.3843834574258802,1,3,28.25,1.6844028777624684,0.46,0.29166666666666663,,False
train_rescue_ema28_imbalance_ratio_base,train_rescue_1signal,weak_negative_rescue,ema28_imbalance_ratio_base,1.1069133166998233,0.3431557227536943,-0.3647092370172077,-0.02384648327238259,0.36469238420120753,1,4,30.0,1.7418013963360657,-0.019335083274715677,,0.375,False
train_rescue_atr_pct,train_rescue_1signal,weak_negative_rescue,atr_pct,1.103672056015307,0.34156397223049195,-0.3779640110924891,-0.027087743956898835,0.3614511235166913,2,4,30.0,1.698028108471621,0.265,,0.4375,False
train_rescue_ema12_net_quote_norm_28,train_rescue_1signal,weak_negative_rescue,ema12_net_quote_norm_28,1.086269368216846,0.33794646380787396,-0.3846383985683933,-0.04449043175535983,0.3440484357182303,2,4,30.25,1.7222134734442438,-0.006451512658667615,,0.25,False
train_rescue_ema28_net_quote_norm_28,train_rescue_1signal,weak_negative_rescue,ema28_net_quote_norm_28,1.0786428059454651,0.331604713801126,-0.3651722056587581,-0.05211699402674075,0.3364218734468494,2,3,30.75,1.741160886838319,-0.02241218142559939,,0.375,False
train_rescue_regime_strength,train_rescue_1signal,weak_negative_rescue,regime_strength,1.0752395105044585,0.3309109037448177,-0.37819373817656743,-0.05552028946774734,0.3330185780058428,2,4,30.25,1.7269511291459976,0.06378282216589713,,0.25,False
train_rescue_ema_gap_pct,train_rescue_1signal,weak_negative_rescue,ema_gap_pct,1.0472863651209343,0.32340046154788116,-0.3627749056289329,-0.08347343485127157,0.30506543262231856,1,4,31.0,1.7093337376289757,0.08180303854180089,,0.25,False
