signal_id,signal_type,trade_id,ts_ms,backtest_price,n_aggtrades,spread_effective_spread_bps,spread_n_trades_near,spread_mid_price,spread_buyer_vwap,spread_seller_vwap,slippage_10k_bps,fill_pct_10k,slippage_50k_bps,fill_pct_50k,slippage_100k_bps,fill_pct_100k,volatility_bps,price_range_bps,commission_bps,total_cost_10k_bps,total_cost_50k_bps,total_cost_100k_bps
0,entry,1,1546646400000,3793.881038,6567,2.108691084304492,103,3790.7550803347804,3791.154756906815,3790.3554037627464,2.000220348107203,1.0,0.7009195360584383,1.0,1.7328856218041206,1.0,1.7831269480414011,12.607513339435407,7.5,10.554565890259449,9.255265078210684,10.287231163956367
1,exit,1,1547107200000,3773.763404,16829,1.305480060431803,493,3775.8993286692266,3776.1457967334154,3775.652860605038,0.21354803700364552,1.0,3.0429102021755896,1.0,3.3788979997246535,1.0,1.6457695808649975,22.83135258547823,7.5,8.366288067219548,11.195650232391491,11.531638029940556
2,entry,2,1549742400000,3657.214473,6472,0.9222158511953339,206,3653.3479422866885,3653.516401055804,3653.1794835175733,0.1873012389235883,1.0,1.7729670184766222,1.0,0.29035746791837974,1.0,1.2533324364154173,12.316484382697801,7.5,8.148409164521254,9.734074944074289,8.251465393516046
3,exit,2,1551024000000,3774.482685,36351,-1.2019187818921429,877,3776.7288736665746,3776.501907598206,3776.9558397349433,-7.920520991697414,1.0,-7.920520991697414,1.0,-7.920520991697414,1.0,3.0046893883491115,171.33735651699584,7.5,7.5,7.5,7.5
4,entry,3,1551297600000,3817.054193,5440,0.5259633465974478,199,3813.227501784198,3813.327782679107,3813.127220889289,-1.0408933688958313,1.0,-0.2890942900403108,1.0,1.327957708590901,1.0,1.0671338220349595,17.88617886178905,7.5,7.762981673298724,7.762981673298724,9.090939381889624
5,exit,3,1551686400000,3723.273932,7478,0.28534891972314,328,3726.7008582875014,3726.7540287907036,3726.6476877842993,-3.336261422050113,1.0,-9.545236639069,1.0,-10.98573476823674,0.8167664263656997,1.1621029391750866,19.329603247158968,7.5,7.64267445986157,7.64267445986157,7.64267445986157
6,entry,4,1551830400000,3861.438544,5311,2.571481571642019,139,3858.2406780511346,3858.736747791263,3857.7446083110062,0.4599378344060604,1.0,-0.20208171229371943,1.0,-0.2569526082145676,1.0,1.2112708486117243,12.882489404994363,7.5,9.24567862022707,8.785740785821009,8.785740785821009
7,exit,4,1552377600000,3830.856269,9872,3.160594561609752,1020,3861.913228208908,3862.5235253062324,3861.302931111584,4.416592244546724,1.0,0.5392281917862451,1.0,-6.36713290558255,1.0,6.194500444482373,128.90175805733108,7.5,13.4968895253516,9.619525472591121,9.080297280804876
8,entry,5,1552449600000,3891.778862,6404,1.2897176907369956,167,3888.3049932015174,3888.555733988353,3888.0542524146817,0.11516720470476523,1.0,0.47828011450690394,1.0,0.6552014464855789,1.0,1.28263063073633,12.085555446985087,7.5,8.260026050073263,8.623138959875401,8.800060291854077
9,exit,5,1553529600000,3958.958071,15553,-2.6514088701597487,951,3959.7344818555307,3959.2095380990972,3960.259425611964,-6.8103921346051175,1.0,-2.8912604255668835,1.0,-0.16141890208368906,1.0,1.2818451203719061,55.117891746946846,7.5,7.5,7.5,7.5
10,entry,6,1553572800000,3940.077124,5639,0.15680810006677376,157,3936.574363808173,3936.6052281455113,3936.5434994708353,-0.5828892597643259,1.0,1.6809576915684816,1.0,2.8921986268284097,1.0,1.1259291258933037,13.58775019873649,7.5,7.578404050033387,9.259361741601868,10.470602676861796
11,exit,6,1554336000000,4927.658643,13599,1.5567161872156772,458,4932.3631206905675,4932.747035166128,4931.979206215007,-2.7104333138947694,1.0,-1.5971972869056474,1.0,-1.6648955553128826,1.0,3.509522737288957,122.0585347889201,7.5,8.278358093607839,8.278358093607839,8.278358093607839
12,entry,7,1554480000000,4971.467742,10161,0.710090042468148,278,4966.706943122231,4966.883283579439,4966.530602665022,0.8428680870768639,1.0,-2.5240071819641816,1.0,-4.821013627592122,1.0,1.4703945991256269,25.47727085057759,7.5,8.697913108310939,7.855045021234074,7.855045021234074
13,exit,7,1554984000000,4996.01024,30684,4.971449671371107,1027,5002.0936274424985,5003.337010278514,5000.850244606482,0.635772956089064,1.0,-3.8690952910277336,1.0,-8.042543211258772,1.0,1.4628212191879144,66.83296747156213,7.5,10.621497791774617,9.985724835685554,9.985724835685554
14,entry,8,1555084800000,5042.488709,8863,2.395300846006458,272,5040.934822856559,5041.538550628851,5040.331095084266,-3.505318679271863,1.0,-2.353361562029371,1.0,-6.053996599760661,1.0,1.3555818861095867,20.912532440218655,7.5,8.697650423003228,8.697650423003228,8.697650423003228
15,exit,8,1556236800000,5215.250835,14496,0.011362493027602926,290,5216.152910145423,5216.1558735704775,5216.14994672037,-6.076663582322481,1.0,-3.685617228276628,1.0,-0.5679584695016305,1.0,1.8450145993838971,38.357236284411236,7.5,7.505681246513801,7.505681246513801,7.505681246513801
16,entry,9,1556323200000,5320.316329,4239,5.256074229454406,272,5310.268525941859,5311.664084219393,5308.872967664324,8.244226140999245,1.0,4.229303859143313,1.0,6.879327047531366,1.0,1.560678242718604,36.059727097275044,7.5,18.37226325572645,14.357340973870516,17.00736416225857
17,exit,9,1557676800000,6835.659211,35551,-0.32449390511241705,1584,6849.848654932949,6849.737518225976,6849.9597916399225,7.384984363899559,1.0,5.498039622745536,1.0,-3.1674336130516845,1.0,2.8902531225567425,199.31755718078927,7.5,14.884984363899559,12.998039622745537,7.5
18,entry,10,1557748800000,7232.467046,28409,4.722439343306624,725,7223.185118910815,7224.890671590291,7221.479566231338,1.8534724182928914,1.0,-0.2538222332744525,1.0,-3.5481370970815593,1.0,1.4909859563122505,92.684234971468,7.5,11.714692089946205,9.861219671653313,9.861219671653313
19,exit,10,1557864000000,7730.513685,21682,1.55607456013089,525,7737.559727624886,7738.161738617369,7736.957716632404,-3.3752433274695095,1.0,-3.346259344186566,1.0,-3.9901350831319435,1.0,3.085135462794156,146.846093700689,7.5,8.278037280065446,8.278037280065446,8.278037280065446
20,entry,11,1558123200000,7142.867514,19286,6.639824060142534,797,7134.1268454131205,7136.495312766935,7131.758378059307,3.0500890192494197,1.0,-10.173979883979538,1.0,-11.152610728404532,1.0,2.8553534831709513,91.29822165842717,7.5,13.870001049320686,10.819912030071267,10.819912030071267
21,exit,11,1559260800000,8258.834967,11674,2.8993927259628074,289,8267.829020468842,8269.027604634914,8266.630436302768,0.3431191318597651,1.0,-0.7081720154190705,1.0,2.329018068059889,1.0,2.0217875071076743,89.69181977384522,7.5,9.29281549484117,8.949696362981404,11.278714431041292
22,entry,12,1559332800000,8453.166831,11833,2.0446115759716625,468,8445.719688597906,8446.583099410042,8444.85627778577,2.275625087717007,1.0,3.9772518891328463,1.0,6.064882016129623,1.0,1.6811405697903845,49.99124413712155,7.5,10.797930875702837,12.499557677118677,14.587187804115453
23,exit,12,1559606400000,8107.546369,43977,12.975011542178397,2166,8073.485030853574,8078.722708926621,8068.247352780528,-44.915830286670484,1.0,-41.92777377487523,1.0,-39.05805219581021,1.0,2.8518202955603367,143.7661357785756,7.5,13.987505771089198,13.987505771089198,13.987505771089198
24,entry,13,1559995200000,7989.313325,8830,4.298623508474906,466,7977.49399562272,7979.208607784135,7975.779383461305,4.731671335771347,1.0,-5.037465132178324,1.0,-8.98616990123816,1.0,1.5280427090785806,38.75927666911124,7.5,14.380983090008801,9.649311754237452,9.649311754237452
25,exit,13,1560009600000,7911.18288,15268,4.532276754677062,725,7910.316844899898,7912.109432157811,7908.524257641984,-4.7974138826329105,1.0,4.110519076812708,1.0,10.515215440463423,1.0,1.4173215157224994,45.08431640256779,7.5,9.766138377338532,13.876657454151239,20.281353817801953
26,entry,14,1560398400000,8090.094031,8493,2.629219585514898,224,8082.026668044733,8083.089139185046,8080.964196904419,1.293682218524066,1.0,3.7886200118751456,1.0,4.25058271811447,1.0,1.1569908860879288,14.636035329384937,7.5,10.108292011281513,12.603229804632594,13.065192510871917
27,exit,14,1561593600000,13085.284895,32319,1.6468532438759542,876,13076.928815813753,13078.005604945765,13075.85202668174,-15.596702502646409,1.0,-17.400535018477942,1.0,-18.016512659276902,1.0,3.5491070156164395,188.69784243017816,7.5,8.323426621937976,8.323426621937976,8.323426621937976
28,entry,15,1561795200000,11889.380469,17111,-1.1477945814818438,511,11877.802055778833,11877.120391936856,11878.48371962081,-2.3108150276710973,1.0,-4.753518876518275,1.0,-3.92683073296304,1.0,1.6948370106485553,112.2435314895875,7.5,7.5,7.5,7.5
29,exit,15,1561996800000,10379.782428,48038,6.699501774204213,1553,10384.011486849819,10387.489872018794,10380.533101680843,-6.447560275527403,1.0,-6.513994040810428,1.0,-6.8627590509104115,1.0,1.8944260457899535,129.1255816196144,7.5,10.849750887102108,10.849750887102108,10.849750887102108
30,entry,16,1562126400000,11300.752282,25064,3.3020080091296222,740,11299.498990409282,11301.364542217556,11297.633438601008,-5.7464303326577575,1.0,-2.5642843853962645,1.0,-1.2262401133792102,1.0,1.5067883411096785,86.73742537029962,7.5,9.151004004564811,9.151004004564811,9.151004004564811
