strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,time_in_market_pct,avg_days_held,turnover_per_year
E0_EMA21,smart,1.5877,71.4,37.29,1.9148,174,43.1,1.8699,0.4551,45.51,6.82,48.11
E0_EMA21,base,1.4739,64.05,38.63,1.658,174,41.38,1.7307,0.4551,45.51,6.82,48.14
E0_EMA21,harsh,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,0.4551,45.51,6.82,48.15
X2,smart,1.6371,77.42,34.64,2.2351,139,43.17,2.0598,0.4688,46.88,8.8,40.12
X2,base,1.5488,71.31,37.27,1.9131,139,41.73,1.9169,0.4688,46.88,8.8,40.02
X2,harsh,1.4555,65.09,40.64,1.6017,139,41.01,1.785,0.4688,46.88,8.8,39.91
