group,count,median_net_return,mean_net_return,median_gross_return,median_bars_held,mean_bars_held,median_hold_hours,trail_stop_pct,trend_exit_pct
winner,79,0.045033,0.121124,0.050033,58.0,71.3,232.0,0.9873,0.0127
loser,125,-0.033212,-0.037138,-0.028212,17.0,20.5,68.0,0.84,0.16
